address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Bergensgata 8C,9500000,122,,1980.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298125451,77868,59.94105,10.758987,17/04/2023,5.0,Andel,468,Oslo
Grindbakken 70,9450000,140,,1985.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299335846,67500,59.967824,10.649101,17/04/2023,2.0,Eier (Selveier),764,Oslo
Hagaveien 26,9500000,272,,1972.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299335596,34926,59.951332,10.931865,17/04/2023,,Eier (Selveier),980,Oslo
Johan Castbergs vei 64,3800000,64,3.0,1969.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299335528,59375,59.923093,10.868282,17/04/2023,1.0,Eier (Selveier),673,Oslo
Nadderudveien 63D,8790000,86,,2022.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299335529,102209,59.93005,10.597908,17/04/2023,2.0,Eier (Selveier),1362,Hosle
Bergrådveien 37,5400000,66,3.0,1951.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299245325,81818,59.956594,10.759495,17/04/2023,2.0,Eier (Selveier),873,Oslo
Sørvangen 14F,13990000,152,5.0,2020.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299332650,92039,59.917133,10.650801,17/04/2023,,Eier (Selveier),282,Oslo
Kirkeveien 123B,7800000,80,3.0,1922.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=292274072,97500,59.9305557,10.7199611,17/04/2023,4.0,Aksje,364,Oslo
Daleveien 47,3790000,123,4.0,1917.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299332629,30813,58.8583032,5.7553749,17/04/2023,,Eier (Selveier),4328,Sandnes
Fossvegen 35,1900000,181,5.0,1967.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298795015,10497,60.2710811,6.0359548,17/04/2023,2.0,Eier (Selveier),5630,Strandebarm
Gundesølina 26A,5990000,116,4.0,2022.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298793813,51637,59.686186,10.248662,17/04/2023,,Eier (Selveier),3039,Drammen
Løvenskiolds gate 3A,16000000,195,,1909.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299332188,82051,59.919373,10.710219,17/04/2023,1.0,Aksje,263,Oslo
Galeasveien 16,5300000,219,6.0,1977.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299332274,24200,58.8651167,9.3918405,17/04/2023,,Eier (Selveier),3770,Kragerø
Sverres gate 10,4000000,40,2.0,1915.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299176418,100000,59.910997,10.775156,17/04/2023,5.0,Eier (Selveier),652,Oslo
Kuhnlevegen 163,4190000,88,4.0,2020.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299264106,47613,60.176014,5.4592,17/04/2023,1.0,Eier (Selveier),5209,Os
Vassåsveien 20,4300000,137,5.0,1959.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299050296,31386,58.9430852,5.7310856,17/04/2023,,Eier (Selveier),4016,Stavanger
Nattmålsvegen 22,8450000,224,7.0,2014.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=275776906,37723,69.6929992,18.621858,17/04/2023,,Eier (Selveier),9107,Kvaløya
Gjerdehagen 46,5650000,148,6.0,2014.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299048963,38175,58.9874762,5.6887337,17/04/2023,,Eier (Selveier),4027,Stavanger
Nordre Åmotvei 1,3400000,158,,1935.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=261055073,21518,59.457192,11.1597771,17/04/2023,,Eier (Selveier),1816,Skiptvet
Ullavikvegen 5,4600000,102,,2018.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299327235,45098,62.397021,6.581893,17/04/2023,2.0,Eier (Selveier),6230,Sykkylven
Korsvoll terrasse 3A,13250000,174,,1935.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=276421073,76149,59.962096,10.763196,17/04/2023,,Eier (Selveier),881,Oslo
Ospestien 15,5990000,82,,1976.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299303019,73048,59.8281932,10.4564517,17/04/2023,2.0,Eier (Selveier),1387,Asker
Ugleveien 18A,6250000,126,,2019.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299325658,49603,59.283093,11.062591,17/04/2023,,Eier (Selveier),1712,Grålum
Sildreveien 3F,3990000,104,,1976.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299325750,38365,59.3021565,10.419361,17/04/2023,,Eier (Selveier),3123,Tønsberg
Snekkerveien 2,4200000,148,4.0,1969.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299225208,28378,67.2761217,14.3948059,17/04/2023,3.0,Eier (Selveier),8004,Bodø
Nordlia 69B,6990000,163,6.0,2021.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=295102681,42883,59.935891,11.161348,17/04/2023,2.0,Eier (Selveier),1900,Fetsund
Frognerveien 29A,11690000,116,4.0,1899.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299324088,100775,59.918666,10.71058,17/04/2023,3.0,Andel,263,Oslo
