address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Tunveien 7,3500000,173,3.0,1954.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299377602,20231,59.7556188,10.1471928,26/04/2023,3.0,Eier (Selveier),3025,Drammen
Seilduksgata 10B,4390000,43,,1892.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300637129,102093,59.925692,10.758334,26/04/2023,3.0,Andel,553,Oslo
Strandparken 77B,3600000,77,,2008.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300637115,46753,59.405519,10.482556,26/04/2023,2.0,Eier (Selveier),3187,Horten
Persaunvegen 1 C,9200000,286,6.0,1954.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=282807710,32167,63.4369964,10.4482933,26/04/2023,,Eier (Selveier),7045,Trondheim
Gudbrands vei 46D,3790000,82,,2019.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300636813,46219,59.3012497,11.0535967,26/04/2023,1.0,Eier (Selveier),1712,Grålum
Fløyveien 22,6200000,213,5.0,1948.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300608679,29107,59.4864354,10.3138655,26/04/2023,3.0,Eier (Selveier),3084,Holmestrand
Astri Aasens veg 28,8190000,168,,2013.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300636497,48750,63.4156519,10.4292311,26/04/2023,,Eier (Selveier),7051,Trondheim
Asgerds vei 53,6400000,122,,2001.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=285092122,52459,59.8255669,10.6875691,26/04/2023,,Eier (Selveier),1459,Nesodden
Reset 10,700000,40,,2006.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=293707008,17500,62.5633958,6.0750867,26/04/2023,1.0,Andel,6040,Vigra
Michelets vei 34B,4000000,46,2.0,1961.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300492794,86956,59.903568,10.608248,26/04/2023,1.0,Aksje,1368,Stabekk
Torvmarkene 14,3990000,142,5.0,1996.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300635806,28098,60.3948604,5.1719288,26/04/2023,,Eier (Selveier),5302,Strusshamn
Brauterstubben 3,5350000,82,3.0,2022.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300234318,65243,59.973928,11.058578,26/04/2023,1.0,Eier (Selveier),2007,Kjeller
Bjørkeskogen 4,2990000,289,7.0,1978.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293963687,10346,59.7472361,5.2414982,26/04/2023,,Eier (Selveier),5437,Finnås
Storlomveien 9E,2800000,105,3.0,1969.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=300634895,26666,58.9695537,5.6035771,26/04/2023,,Andel,4049,Hafrsfjord
Ulstadløkkveien 5,3350000,56,3.0,1990.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300463376,59821,63.4368542,10.4241588,26/04/2023,4.0,Andel,7067,Trondheim
Paul Fjermstads veg 23,6150000,120,6.0,1947.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300153851,51250,63.4210495,10.4242555,26/04/2023,1.0,Eier (Selveier),7052,Trondheim
Svenskerudvegen 7,6950000,194,6.0,2005.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300414563,35824,60.2755206,11.192423,26/04/2023,,Eier (Selveier),2070,Råholt
Breisteinvegen 209,2690000,103,,1925.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300633781,26116,60.4863133,5.4035035,26/04/2023,,Eier (Selveier),5111,Breistein
Gimleveien 91,2390000,43,2.0,1936.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300418593,55581,60.368073,5.359368,26/04/2023,,Eier (Selveier),5052,Bergen
Rådhusgata 19B,2390000,62,2.0,1947.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300601122,38548,59.583481,11.160515,26/04/2023,3.0,Eier (Selveier),1830,Askim
Galterudskogen 34 B,3450000,67,3.0,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300252129,51492,61.08539,10.492106,26/04/2023,1.0,Eier (Selveier),2614,Lillehammer
Banebakken 39,4590000,73,,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300631835,62876,59.260008,10.410651,26/04/2023,2.0,Eier (Selveier),3127,Tønsberg
Presterødalleen 13C,5690000,75,,2020.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300631842,75866,59.271646,10.445141,26/04/2023,3.0,Eier (Selveier),3118,Tønsberg
Nordåsbrotet 10,2990000,100,4.0,1984.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=297689359,29900,60.3053957,5.3071909,26/04/2023,3.0,Andel,5235,Rådal
Operagata 67A,23900000,113,5.0,2020.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300587312,211504,59.906668,10.757682,26/04/2023,4.0,Eier (Selveier),194,Oslo
Prinsesseveien 38,6200000,221,,1980.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299727015,28054,59.2989124,10.4195412,26/04/2023,2.0,Eier (Selveier),3123,Tønsberg
