address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Åsbråtstien 36,4200000,96,4.0,1983.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=297752009,43750,59.828596,10.784131,14/04/2023,3.0,Andel,1251,Oslo
Daletoppen 18,4290000,74,,1978.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298807948,57972,59.832468,10.4532129,14/04/2023,1.0,Eier (Selveier),1387,Asker
Thaulowkaia 2,4190000,56,2.0,2003.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298807706,74821,63.43565,10.4146526,14/04/2023,6.0,Eier (Selveier),7042,Trondheim
Mørtelverksbakken 19,6590000,79,4.0,2018.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294535610,83417,59.935954,10.806934,14/04/2023,3.0,Eier (Selveier),580,Oslo
Holmenveien 21,8500000,269,,1950.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=292394795,31598,59.2464787,10.4185876,14/04/2023,,Eier (Selveier),3120,Nøtterøy
Disenveien 43,4940000,74,3.0,1960.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=293122260,66756,59.941154,10.796602,14/04/2023,3.0,Andel,587,Oslo
Gustav Vigelands vei 1,9500000,73,2.0,2000.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298773977,130136,59.92284,10.687479,14/04/2023,5.0,Eier (Selveier),274,Oslo
Manesjen 3,8250000,127,4.0,2004.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298804834,64960,60.1456542,11.1678917,14/04/2023,7.0,Eier (Selveier),2050,Jessheim
Banebakken 10,4990000,164,6.0,1958.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298807136,30426,59.2564289,10.4071805,14/04/2023,,Eier (Selveier),3121,Nøtterøy
Erik Werenskiolds veg 30,3100000,209,,1968.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=297021738,14832,60.1955097,12.0180959,14/04/2023,,Eier (Selveier),2213,Kongsvinger
Hobbelstadjordet 13,3890000,127,,1982.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298669806,30629,59.7796314,9.9083466,14/04/2023,,Eier (Selveier),3303,Hokksund
Utsiktsveien 5,4850000,147,4.0,1968.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298527357,32993,59.005556,10.026479,14/04/2023,,Eier (Selveier),3292,Stavern
Leitetunet 11,1590000,36,2.0,1970.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=291456994,44166,67.289307,14.4162923,14/04/2023,,Andel,8009,Bodø
Kanalveien 15,4200000,49,2.0,2010.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298672001,85714,59.9514817,11.0458759,14/04/2023,3.0,Eier (Selveier),2004,Lillestrøm
Vår Frue gate 8,3890000,49,,1870.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298806352,79387,63.429281,10.398694,14/04/2023,3.0,Eier (Selveier),7013,Trondheim
Nordahl Griegs vei 7,12750000,172,6.0,2015.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298806421,74127,59.934232,10.973647,14/04/2023,,Eier (Selveier),1462,Fjellhamar
Spetalenveien 23,4700000,190,,1988.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298794238,24736,59.2958139,10.7651188,14/04/2023,,Eier (Selveier),1642,Saltnes
Trommestadveien 50,3990000,385,,1880.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298806368,10363,58.4484776,8.7665865,14/04/2023,,Eier (Selveier),4816,Kolbjørnsvik
Mauråsveien 1,3290000,211,,1977.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298806338,15592,58.4822809,8.7747467,14/04/2023,,Eier (Selveier),4844,Arendal
Rustadsaga 11,4250000,68,3.0,1964.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298786617,62500,59.872433,10.849361,14/04/2023,3.0,Andel,693,Oslo
Nordlysveien 7,11300000,98,4.0,1949.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294350944,115306,59.953783,10.787275,14/04/2023,1.0,Eier (Selveier),489,Oslo
Mathiasbakken 7L,6500000,121,4.0,2005.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298794374,53719,59.2376393,10.4521051,14/04/2023,3.0,Eier (Selveier),3132,Husøysund
Cappelens gate 6C,2590000,76,3.0,2014.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298738164,34078,59.2099561,9.6044631,14/04/2023,3.0,Andel,3717,Skien
Nygårdsgaten 55,2900000,54,2.0,2005.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=293362038,53703,60.3862419,5.3301176,14/04/2023,2.0,Andel,5008,Bergen
Erling Skjalgssons gate 5B,5190000,63,4.0,1898.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298664514,82380,59.917989,10.701368,14/04/2023,1.0,Eier (Selveier),265,Oslo
Liaveien 5,1790000,65,,1981.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298805951,27538,58.4961666,8.8486171,14/04/2023,2.0,Eier (Selveier),4815,Saltrød
Evjenvegen 152J,1890000,56,2.0,2000.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298647144,33750,69.6682313,19.0289359,14/04/2023,1.0,Andel,9024,Tomasjord
Lindebergåsen 25C,4200000,125,5.0,1978.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298498393,33600,59.929585,10.873461,14/04/2023,3.0,Andel,1071,Oslo
Brattsbergvegen 8B,2200000,80,4.0,1953.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298655968,27500,59.1470856,9.6636656,14/04/2023,1.0,Andel,3912,Porsgrunn
Sinsenveien 37,6800000,84,4.0,2004.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298805521,80952,59.932218,10.789282,14/04/2023,1.0,Eier (Selveier),585,Oslo
Vassbygdvegen 786,5790000,378,,1950.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298799656,15317,63.508022,11.00971,14/04/2023,,Eier (Selveier),7512,Stjørdal
Storetungrova 30,2650000,53,2.0,2003.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298805448,50000,61.4525722,5.895843,14/04/2023,2.0,Eier (Selveier),6812,Førde
