address,price,area,url,lat,lon,date,price_per_m2,postal_code,city
DRAMMENSVEIEN 97A,21000 ,56,https://www.finn.no/realestate/lettings/ad.html?finnkode=249539581,59.9169343,10.7002019,08/02/2023,375.0,273,Oslo
KARLSMINNEGATA 108 A,16000 ,86,https://www.finn.no/realestate/lettings/ad.html?finnkode=290732503,58.9630084,5.7542268,08/02/2023,186.0,4015,Stavanger
Reise 32,9800 ,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=278228425,58.258117,8.39608,08/02/2023,196.0,4790,Lillesand
Sørumsandvegen 68,24990 ,18,https://www.finn.no/realestate/lettings/ad.html?finnkode=290745370,59.98568695,11.23819604007736,08/02/2023,1388.0,1920,Sørumsand
Nedre Myrvei 18,35000 ,167,https://www.finn.no/realestate/lettings/ad.html?finnkode=236756816,70.6755656,23.6773024,08/02/2023,209.0,9601,Hammerfest
Skipanesvegen 54,9800 ,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=280951194,60.2476268,5.2664197,08/02/2023,122.0,5259,Hjellestad
Vestlinna 2B,13500 ,59,https://www.finn.no/realestate/lettings/ad.html?finnkode=290704113,60.070204,11.033786,08/02/2023,228.0,2022,Gjerdrum
Hans Nordahls Gate 44,17000 ,56,https://www.finn.no/realestate/lettings/ad.html?finnkode=290737522,59.941135,10.778848,08/02/2023,303.0,481,Oslo
Malerhaugveien 20 C,24900 ,82,https://www.finn.no/realestate/lettings/ad.html?finnkode=290740085,59.914625,10.791984,08/02/2023,303.0,661,Oslo
Karmøygata 80,8500 ,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=290728579,59.3992782,5.2837822,08/02/2023,141.0,5529,Haugesund
Udbyes gate 3 D,15750 ,71,https://www.finn.no/realestate/lettings/ad.html?finnkode=290738936,63.4184572,10.395109,08/02/2023,221.0,7030,Trondheim
UNDERHAUGSVEIEN 9 C,15000 ,53,https://www.finn.no/realestate/lettings/ad.html?finnkode=250775001,59.92479,10.728049,08/02/2023,283.0,354,Oslo
Bekkesvingen 4B,600 ,15,https://www.finn.no/realestate/lettings/ad.html?finnkode=266282701,60.3666359,5.3686027,08/02/2023,40.0,5096,Bergen
RINGVEGEN 44,6900 ,20,https://www.finn.no/realestate/lettings/ad.html?finnkode=290729913,59.7649758,5.4613766,08/02/2023,345.0,5412,Stord
ST.OLAVS GATE 103,14000 ,65,https://www.finn.no/realestate/lettings/ad.html?finnkode=201756827,60.7933949,11.0878865,08/02/2023,215.0,2321,Hamar
