address,price,area,url,lat,lon,date,price_per_m2,postal_code,city
Skogveien 28A,5135 ,12,https://www.finn.no/realestate/lettings/ad.html?finnkode=289127136,59.6696299,10.7793183,26/01/2023,427.0,1433,Ås
Rådalslia 1,18000 ,107,https://www.finn.no/realestate/lettings/ad.html?finnkode=289131556,59.260077,10.994634,26/01/2023,168.0,1663,Rolvsøy
Bogstadveien 9 A,30000 ,79,https://www.finn.no/realestate/lettings/ad.html?finnkode=289129493,59.924823,10.724986,26/01/2023,379.0,355,Oslo
VOSSEGATA 24,9800 ,28,https://www.finn.no/realestate/lettings/ad.html?finnkode=269318655,59.931917,10.76899,26/01/2023,350.0,475,Oslo
STRØMSDALEN 1 B,7000 ,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=289119822,58.1629243,8.0839171,26/01/2023,140.0,4635,Kristiansand S
Oreliveien 10 B,14500 ,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=289126226,59.932079,10.815224,26/01/2023,362.0,580,Oslo
gunvor eliassens vei 19a Sande i,11000 ,72,https://www.finn.no/realestate/lettings/ad.html?finnkode=289118720,59.640832,10.233952,26/01/2023,152.0,3070,Vestfold
Solbergveien 108 B,15000 ,137,https://www.finn.no/realestate/lettings/ad.html?finnkode=289124717,60.0066184,11.0093142,26/01/2023,109.0,2020,Skedsmokorset
Julianus Holms veg 70,14000 ,46,https://www.finn.no/realestate/lettings/ad.html?finnkode=289122832,63.441658,10.462886,26/01/2023,304.0,7041,Trondheim
Orevikabakken,8500 ,120,https://www.finn.no/realestate/lettings/ad.html?finnkode=289116434,59.599553,10.021477,26/01/2023,70.0,3095,Eidsfoss
Wessels gate 5 B,12500 ,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=289121742,63.4346113,10.4170278,26/01/2023,277.0,7043,Trondheim
Ivar Aasens vei 2 B,16500 ,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=289121030,59.937736,10.70984,26/01/2023,330.0,373,Oslo
FRYDENBERGVEIEN 56,15500 ,43,https://www.finn.no/realestate/lettings/ad.html?finnkode=175390961,59.929255,10.789865,26/01/2023,360.0,575,Oslo
Damsgårdsveien 85,13800 ,46,https://www.finn.no/realestate/lettings/ad.html?finnkode=274778969,60.381375,5.320326,26/01/2023,300.0,5058,Bergen
Michael Krohns gate 75,12900 ,41,https://www.finn.no/realestate/lettings/ad.html?finnkode=278848073,60.381219,5.319203,26/01/2023,314.0,5057,Bergen
Remmo 25 i Alverstraumen,9000 ,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=287226560,60.5844842,5.2119699,26/01/2023,128.0,5911,Alversund
Kirkeveien 102 D,21500 ,54,https://www.finn.no/realestate/lettings/ad.html?finnkode=289118856,59.9305557,10.7199611,26/01/2023,398.0,364,Oslo
Humlevegen 44 D,8900 ,75,https://www.finn.no/realestate/lettings/ad.html?finnkode=289118338,60.1780057,11.5152358,26/01/2023,118.0,2166,Oppaker
Nedre møllenberg gate 44A,6500 ,12,https://www.finn.no/realestate/lettings/ad.html?finnkode=289110176,63.431827,10.411847,26/01/2023,541.0,7014,Trondheim
Kulpeveien 13 A,22000 ,137,https://www.finn.no/realestate/lettings/ad.html?finnkode=289114531,59.481723,10.691163,26/01/2023,160.0,1538,Moss
Kulpeveien 35,16000 ,64,https://www.finn.no/realestate/lettings/ad.html?finnkode=289114635,59.48153,10.688777,26/01/2023,250.0,1538,Moss
ADOLPH TIDEMANDS GATE 29 A,12500 ,43,https://www.finn.no/realestate/lettings/ad.html?finnkode=289112920,59.9571308,11.0476363,26/01/2023,290.0,2000,Lillestrøm
Grønvoll allé 70,20000 ,63,https://www.finn.no/realestate/lettings/ad.html?finnkode=289112457,59.91619,10.795116,26/01/2023,317.0,661,Oslo
Moerveien 14,"78800,–",250,https://www.finn.no/realestate/lettings/ad.html?finnkode=276493972,59.6613466,10.7934037,26/01/2023,,1430,Ås
DALEGÅRDSVEIEN 36,8500 ,48,https://www.finn.no/realestate/lettings/ad.html?finnkode=73024363,59.7592623,10.1309416,26/01/2023,177.0,3028,Drammen
Mauritz Hansens gate 4 A,29000 ,130,https://www.finn.no/realestate/lettings/ad.html?finnkode=289109874,59.921362,10.731217,26/01/2023,223.0,350,Oslo
Vågamyran 4,5500 ,20,https://www.finn.no/realestate/lettings/ad.html?finnkode=81149501,63.0916864,7.8080172,26/01/2023,275.0,6520,Frei
Stjørdalsveien 3 F,12500 ,35,https://www.finn.no/realestate/lettings/ad.html?finnkode=289109475,63.442001,10.433615,26/01/2023,357.0,7066,Trondheim
Bjønnbåsen 74a,12000 ,58,https://www.finn.no/realestate/lettings/ad.html?finnkode=286500018,58.8192269,5.7614174,26/01/2023,206.0,4324,Sandnes
ROLLANDSSTØLEN 22,8500 ,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=77276760,60.457476,5.3331377,26/01/2023,188.0,5115,Ulset
Fagerlundvegen,7500 ,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=246534546,60.8886226,10.934103,26/01/2023,125.0,2383,Brumunddal
Liavegen 57,9000 ,79,https://www.finn.no/realestate/lettings/ad.html?finnkode=289106952,63.4234758,10.8269583,26/01/2023,113.0,7550,Hommelvik
Vårveien 47 B,19500 ,76,https://www.finn.no/realestate/lettings/ad.html?finnkode=289106061,59.896062,10.799582,26/01/2023,256.0,1182,Oslo
Langbråten 27,21200 ,124,https://www.finn.no/realestate/lettings/ad.html?finnkode=286126329,60.1410999,11.1589145,26/01/2023,170.0,2063,Jessheim
