address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Flatåsen 26,18000000,215,5.0,2005.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293477360,83720,59.6598959,10.6330617,11/03/2023,2.0,Eier (Selveier),1440,Drøbak
Åsryggen 17,2700000,167,6.0,1963.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294337582,16167,68.135686,13.843573,11/03/2023,2.0,Eier (Selveier),8340,Stamsund
Hølandsgata 1A,5600000,51,2.0,1961.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294442446,109803,59.9089,10.779228,11/03/2023,12.0,Aksje,655,Oslo
Sløyfa 13,6850000,176,,2007.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=281076089,38920,60.7728108,11.2319137,11/03/2023,2.0,Eier (Selveier),2344,Ilseng
Trondheimsveien 69,4000000,54,2.0,1940.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294126576,74074,59.92288,10.771819,11/03/2023,3.0,Andel,565,Oslo
Gullkroken 28A,14900000,155,4.0,1986.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=294209706,96129,59.930385,10.678039,11/03/2023,,Eier (Selveier),377,Oslo
Tvetenveien 237,3990000,80,4.0,1973.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=292692941,49875,59.926021,10.863866,11/03/2023,2.0,Andel,675,Oslo
Skaustranda 52,4650000,128,,2007.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=294495240,36328,59.1017937,10.223525,11/03/2023,,Andel,3209,Sandefjord
Louises gate 15D,5590000,69,2.0,1936.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294493948,81014,59.926081,10.736401,11/03/2023,,Eier (Selveier),169,Oslo
Havnegata 14A,2900000,70,,1959.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294492437,41428,59.729613,10.228488,11/03/2023,2.0,Eier (Selveier),3040,Drammen
Professor Dahls gate 19 A,7650000,154,,1870.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294461302,49675,60.3995344,5.3287646,11/03/2023,,Eier (Selveier),5031,Bergen
Gamlelinja 57A,7600000,138,5.0,1983.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=294395444,55072,59.837026,10.784421,11/03/2023,,Andel,1254,Oslo
Blinken 35,2230000,91,,1972.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294486545,24505,70.6539529,23.6965853,11/03/2023,,Andel,9603,Hammerfest
Dokken 10,3390000,47,3.0,1936.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294483703,72127,60.38834,5.3159342,11/03/2023,4.0,Eier (Selveier),5006,Bergen
Solhaugveien 88B,5750000,91,4.0,1965.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294357468,63186,59.887343,10.511688,11/03/2023,3.0,Eier (Selveier),1337,Sandvika
Svartdalsveien 6 B,7700000,104,3.0,1984.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=255660474,74038,59.903455,10.801467,11/03/2023,2.0,Eier (Selveier),678,Oslo
Stadsing Dahls gate 34,4290000,65,,1936.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294478692,66000,63.4327422,10.4249165,11/03/2023,2.0,Eier (Selveier),7043,Trondheim
Rådyrvegen 30,6300000,136,,1982.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=292486049,46323,59.9348111,11.0394579,11/03/2023,,Eier (Selveier),2014,Blystadlia
Høgåsveien 2F,6150000,116,,1958.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=290194756,53017,59.91093,10.509694,11/03/2023,,Eier (Selveier),1352,Kolsås
Lykkmarka 35 B,3990000,168,3.0,1970.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=289866244,23750,63.3650744,10.4019099,11/03/2023,,Eier (Selveier),7081,Sjetnemarka
Bølerlia 19,4450000,83,4.0,1958.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294474627,53614,59.881984,10.843387,11/03/2023,3.0,Andel,691,Oslo
Askergata 2,5490000,53,3.0,1967.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294474642,103584,59.930828,10.769164,11/03/2023,2.0,Eier (Selveier),475,Oslo
Karmsundgata 9B,990000,73,2.0,1952.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294470074,13561,59.3998059,5.2937902,11/03/2023,1.0,Andel,5531,Haugesund
Søster Mathildes gate 5,4550000,89,3.0,2006.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294472791,51123,59.919066,10.948541,11/03/2023,2.0,Eier (Selveier),1461,Lørenskog
