address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Grevlingåsen 9C,3300000,52,2.0,1965.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=293952374,63461,59.9384072,10.5886445,15/03/2023,-1.0,Andel,1362,Hosle
Damsgårdsveien 42,3390000,47,,2017.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=295018838,72127,60.3779814,5.3282884,15/03/2023,3.0,Eier (Selveier),5058,Bergen
Sanddalskollen 51,2790000,80,3.0,1989.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294732329,34875,60.3268543,5.3672631,15/03/2023,2.0,Andel,5225,Nesttun
Øvre Maihaugen 3B,980000,60,2.0,1973.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294968929,16333,59.2231552,9.5639139,15/03/2023,4.0,Andel,3741,Skien
Ynglingeveien 12,4600000,219,,1971.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294971216,21004,59.3783876,10.4482602,15/03/2023,,Eier (Selveier),3184,Borre
Storetveitåsen 20,1990000,48,,1938.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=295016654,41458,60.3550801,5.3470867,15/03/2023,,Eier (Selveier),5067,Bergen
Aluvegen 76,6450000,169,7.0,1919.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=290719861,38165,60.8099272,11.055545,15/03/2023,2.0,Eier (Selveier),2319,Hamar
Storetveitåsen 20,3990000,88,,1938.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=289157614,45340,60.3550801,5.3470867,15/03/2023,,Eier (Selveier),5067,Bergen
Waldemar Aunes veg 6B,3690000,80,,1966.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=295016582,46125,63.3959478,10.3736582,15/03/2023,2.0,Andel,7027,Trondheim
Sigurds gate 17,2890000,45,2.0,1987.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=295015960,64222,60.3908081,5.3200324,15/03/2023,1.0,Andel,5015,Bergen
Øvre Dr. Holms vei 31,1600000,51,,1953.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=295015573,31372,59.05607,10.045728,15/03/2023,1.0,Andel,3258,Larvik
Victors vei 6,4300000,184,5.0,1969.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294990360,23369,59.2312683,11.0064142,15/03/2023,1.0,Eier (Selveier),1654,Sellebakk
Kleppevegen 63,7450000,237,6.0,2008.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=295014339,31434,60.4207731,5.2148761,15/03/2023,2.0,Eier (Selveier),5300,Kleppestø
Finn Thorsagers vei 16,17950000,101,4.0,2020.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=291561234,177722,59.899196,10.608448,15/03/2023,3.0,Eier (Selveier),1360,Fornebu
Fanavegen 83,3850000,61,,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=295012466,63114,60.297138,5.32604,15/03/2023,4.0,Eier (Selveier),5239,Rådal
Hagavegen 31,6850000,269,,1966.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=290105202,25464,60.781238,11.12386,15/03/2023,2.0,Eier (Selveier),2312,Ottestad
Rønningsvegen 21B,3500000,89,4.0,2002.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294953336,39325,63.436702,10.615405,15/03/2023,3.0,Eier (Selveier),7560,Vikhammer
Lyngvegen 99,4290000,209,,1976.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=278617060,20526,59.1097,9.6738222,15/03/2023,,Eier (Selveier),3930,Porsgrunn
Kjerkbakkan 7D,2790000,65,3.0,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=295011729,42923,63.60656,8.971769,15/03/2023,1.0,Eier (Selveier),7240,Hitra
