address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Vogts gate 61B,4375000,41,2.0,1924.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294098938,106707,59.936226,10.766517,13/03/2023,2.0,Andel,477,Oslo
Skedsmogata 2B,10700000,111,5.0,1870.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294598960,96396,59.913099,10.779829,13/03/2023,2.0,Eier (Selveier),655,Oslo
Selma Ellefsens vei 5B,3790000,86,4.0,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294780529,44069,59.92545,10.810292,13/03/2023,5.0,Andel,581,Oslo
Stokkbekken 24,8750000,187,5.0,2012.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294570990,46791,63.4126037,10.4786118,13/03/2023,3.0,Eier (Selveier),7048,Trondheim
Tidemands gate 3,28200000,173,,1903.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=292423060,163005,59.92126,10.70808,13/03/2023,2.0,Eier (Selveier),266,Oslo
Padlane 10,3700000,215,4.0,1984.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294070653,17209,59.3824574,5.4732599,13/03/2023,,Eier (Selveier),5570,Aksdal
Spireaveien 12B,4200000,48,2.0,2013.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294711119,87500,59.933334,10.801077,13/03/2023,1.0,Eier (Selveier),580,Oslo
Myrerveien 15,5700000,67,3.0,1953.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294365517,85074,59.96156,10.787998,13/03/2023,2.0,Andel,494,Oslo
Øverlitunet 40,6200000,186,,1985.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294333255,33333,60.8056758,11.051651,13/03/2023,2.0,Eier (Selveier),2316,Hamar
Frognerseterveien 28G,13600000,147,5.0,2016.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294779215,92517,59.9504432,10.6904428,13/03/2023,,Eier (Selveier),775,Oslo
Bjørnsons gate 62,8100000,156,6.0,1951.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294713494,51923,59.9615762,11.0395454,13/03/2023,,Eier (Selveier),2003,Lillestrøm
Ringshusveien 10 C,17600000,243,6.0,2022.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=285983812,72427,59.878629,10.799405,13/03/2023,,Eier (Selveier),1176,Oslo
Ekebergveien 138 B,16200000,140,4.0,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=292567659,115714,59.881618,10.787724,13/03/2023,,Eier (Selveier),1178,Oslo
Grønliveien 29A,7900000,111,5.0,2022.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=277020081,71171,59.935072,10.893068,13/03/2023,,Eier (Selveier),1056,Oslo
Transistorfaret 6,6300000,76,,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294777907,82894,59.867841,10.482964,13/03/2023,2.0,Eier (Selveier),1396,Billingstad
Waldemar Thranes gate 21,6690000,98,4.0,1933.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294603259,68265,59.925255,10.743908,13/03/2023,1.0,Andel,171,Oslo
Hendvarden 13,4700000,241,7.0,2000.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294731122,19502,63.0527722,7.5101588,13/03/2023,,Eier (Selveier),6533,Averøy
Camilla Colletts vei 7,15490000,146,4.0,1887.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294242839,106095,59.919972,10.721484,13/03/2023,4.0,Eier (Selveier),257,Oslo
Elisenbergveien 26,12590000,130,4.0,1896.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294245163,96846,59.919064,10.707019,13/03/2023,3.0,Eier (Selveier),265,Oslo
Niels Juels gate 47B,6200000,55,,1897.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294776668,112727,59.9171897,10.7150497,13/03/2023,3.0,Eier (Selveier),257,Oslo
HEGNAVEGEN 4,2999000,168,10.0,1972.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294649602,17851,60.0845153,6.5281477,13/03/2023,2.0,Eier (Selveier),5750,Odda
Bråtejordet 133,7500000,134,,2017.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=293976483,55970,59.955643,11.00176,13/03/2023,3.0,Eier (Selveier),1465,Strømmen
Magasinparken 28,6200000,84,3.0,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=271543293,73809,59.71678,10.824528,13/03/2023,2.0,Andel,1423,Ski
Dolvikvegen 28A,3500000,75,3.0,2005.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294349640,46666,60.3101067,5.2699362,13/03/2023,1.0,Eier (Selveier),5252,Søreidgrend
Spireaveien 10 B,3900000,48,2.0,2007.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=290130086,81250,59.933717,10.801926,13/03/2023,1.0,Andel,580,Oslo
Tomasjordnes 150,1590000,29,1.0,2008.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294773733,54827,69.6667084,19.0197337,13/03/2023,2.0,Andel,9024,Tomasjord
Konows gate 26D,9700000,119,5.0,2005.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294695192,81512,59.902438,10.775789,13/03/2023,1.0,Eier (Selveier),196,Oslo
Bøveien 3F,11500000,283,,2018.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294773490,40636,59.767699,10.442043,13/03/2023,,Eier (Selveier),1389,Heggedal
Amtmann Meinichs gate 19B,5350000,57,3.0,1950.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294661634,93859,59.940844,10.775104,13/03/2023,4.0,Aksje,482,Oslo
Hasselveien 5D,1650000,68,,1990.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294772464,24264,58.1558922,7.0978063,13/03/2023,2.0,Eier (Selveier),4580,Lyngdal
Colletts gate 11A,11890000,96,3.0,1903.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294771905,123854,59.925025,10.736131,13/03/2023,2.0,Eier (Selveier),169,Oslo
Brettevilles gate 7,4300000,54,2.0,1936.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294771648,79629,59.941277,10.772245,13/03/2023,3.0,Aksje,481,Oslo
Rosteds gate 4 B,6100000,70,4.0,1889.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294771558,87142,59.919042,10.750541,13/03/2023,,Eier (Selveier),178,Oslo
Bringsjordneset 76,3690000,223,,1973.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=262269762,16547,58.1425529,7.0678481,13/03/2023,2.0,Eier (Selveier),4580,Lyngdal
Dælenenggata 3A,3750000,41,2.0,1958.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294471484,91463,59.925835,10.774499,13/03/2023,3.0,Andel,567,Oslo
Solliveien 9C,7490000,172,,2012.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294714278,43546,58.9249381,5.7263196,13/03/2023,2.0,Eier (Selveier),4020,Stavanger
Øverenga 27 Vang på,1690000,102,,1925.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294770388,16568,60.849298,11.203135,13/03/2023,,Eier (Selveier),2324,Hedmarken
Havnevegen 199,1550000,26,1.0,2018.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294768425,59615,63.41602,10.807939,13/03/2023,1.0,Eier (Selveier),7550,Hommelvik
Hafrakveien 233,3090000,74,3.0,2016.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=294730581,41756,58.8312389,5.7344335,13/03/2023,,Eier (Selveier),4320,Sandnes
Nordåshøgda 35,5990000,202,4.0,1982.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=294766875,29653,60.3049451,5.3116624,13/03/2023,,Eier (Selveier),5235,Rådal
Munkedamsveien 79B,6250000,65,3.0,1972.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294368068,96153,59.912293,10.715798,13/03/2023,2.0,Andel,270,Oslo
Lauvveien 10,4750000,277,8.0,1981.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294765633,17148,58.777513,5.826073,13/03/2023,,Eier (Selveier),4331,Ålgård
