address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Myraneveien 22,3800000,152,4.0,1998.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=292283868,25000,59.0188485,9.7110918,18/04/2023,,Eier (Selveier),3961,Stathelle
Martinsvingen 22,6900000,182,,2014.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299464290,37912,59.298184,11.050458,18/04/2023,,Eier (Selveier),1712,Grålum
Nipefjellet 82,3690000,140,5.0,2001.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299463378,26357,60.4262967,5.181667,18/04/2023,,Eier (Selveier),5308,Kleppestø
Stokkerskogen 9C,5300000,94,,1992.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299462912,56382,59.7784249,10.4430619,18/04/2023,,Eier (Selveier),1389,Heggedal
Strandgaten 203,2450000,30,,1956.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299462432,81666,60.3974755,5.3118494,18/04/2023,5.0,Eier (Selveier),5004,Bergen
Vidars gate 18A,8650000,84,4.0,1929.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299281913,102976,59.931383,10.734871,18/04/2023,2.0,Aksje,452,Oslo
Skogsveien 4 Ytre,6350000,253,9.0,1951.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=233456704,25098,59.7376051,10.9996565,18/04/2023,,Eier (Selveier),1914,Enebakk
Øvre Granåslia 27,3400000,55,,2019.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299445554,61818,63.416768,10.466201,18/04/2023,3.0,Eier (Selveier),7047,Trondheim
Gråbeinsletta 38,6290000,237,7.0,1971.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299275127,26540,59.7291393,10.1508567,18/04/2023,,Eier (Selveier),3030,Drammen
Morvikveien 63C,4390000,116,4.0,1985.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299395337,37844,60.4684814,5.2782071,18/04/2023,2.0,Eier (Selveier),5122,Morvik
Lademoens Kirkealle 13 B,3290000,63,,1953.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=291760486,52222,63.4383122,10.4337458,18/04/2023,1.0,Aksje,7067,Trondheim
Steinerudvegen 44,3550000,81,4.0,2018.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299317011,43827,60.231554,11.168367,18/04/2023,2.0,Eier (Selveier),2054,Mogreina
Asbjørn Øverås veg 18C,3800000,110,4.0,1972.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299459419,34545,63.3928767,10.4306759,18/04/2023,2.0,Andel,7036,Trondheim
Bergensveien 4A,2500000,34,1.0,1962.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299423695,73529,59.960169,10.880708,18/04/2023,8.0,Eier (Selveier),963,Oslo
Observatoriegata 17A,5000000,41,3.0,1892.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299459279,121951,59.912367,10.722002,18/04/2023,,Eier (Selveier),254,Oslo
Credoveita 14,3090000,50,,1899.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299458466,61800,63.4342756,10.3959781,18/04/2023,6.0,Eier (Selveier),7010,Trondheim
Hallingstadveien 22,8800000,242,,2005.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299226995,36363,59.8132814,10.2630189,18/04/2023,,Eier (Selveier),3406,Tranby
Gjesdalbakken 31,4190000,98,3.0,1986.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299333507,42755,58.846263,5.7394553,18/04/2023,5.0,Eier (Selveier),4306,Sandnes
Sandesund terrasse 10C,2700000,77,3.0,2010.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299409300,35064,59.2731888,11.0985725,18/04/2023,2.0,Eier (Selveier),1724,Sarpsborg
Durudveien 56,12900000,239,,1962.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299406641,53974,59.909535,10.539308,18/04/2023,2.0,Eier (Selveier),1344,Haslum
Åråssvingen 10,2950000,54,2.0,2001.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299457478,54629,59.9633328,11.0646612,18/04/2023,2.0,Andel,2007,Kjeller
Krokstien 5D,1650000,72,,1971.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299456948,22916,59.2804816,11.0487879,18/04/2023,-1.0,Andel,1718,Greåker
Kanonhallveien 36 A,7150000,71,3.0,2006.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299226195,100704,59.931989,10.791632,18/04/2023,4.0,Eier (Selveier),585,Oslo
Hasleveien 26,4650000,59,3.0,2006.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=295645884,78813,59.928877,10.781497,18/04/2023,1.0,Andel,571,Oslo
Ivers vei 17,3980000,204,,1936.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=280622059,19509,59.7022832,10.5148326,18/04/2023,,Eier (Selveier),3474,Åros
Porfyrveien 6,4100000,52,2.0,1961.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299248895,78846,59.942998,10.64853,18/04/2023,3.0,Eier (Selveier),753,Oslo
Veitvetveien 28,3250000,42,,1955.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299453250,77380,59.943642,10.85184,18/04/2023,1.0,Andel,596,Oslo
Vestveien 44,16900000,338,,1883.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299453186,50000,59.713681,10.831478,18/04/2023,,Eier (Selveier),1423,Ski
Agmund Bolts vei 18,3750000,54,2.0,1954.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299452488,69444,59.914537,10.812692,18/04/2023,2.0,Andel,664,Oslo
Ringsbyvegen 524,2840000,110,,1950.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=292212064,25818,60.2014559,11.4741102,18/04/2023,,Eier (Selveier),2160,Vormsund
Hammerstads gate 3A,3600000,19,2.0,1892.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294757227,189473,59.928091,10.723587,18/04/2023,4.0,Eier (Selveier),363,Oslo
Ekervegen 5C,3790000,98,4.0,2002.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299451446,38673,60.2200781,11.0154859,18/04/2023,3.0,Eier (Selveier),2030,Nannestad
Toppåsveien 16A,7790000,216,7.0,2002.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299400163,36064,59.833058,10.802069,18/04/2023,,Eier (Selveier),1262,Oslo
Rognerudveien 38B,10700000,198,9.0,1959.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=289017823,54040,59.900973,10.822353,18/04/2023,,Eier (Selveier),681,Oslo
Garvergaten 7,4500000,95,4.0,1981.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298806795,47368,60.374912,5.3380925,18/04/2023,2.0,Andel,5054,Bergen
Ankerveien 40A,8700000,106,,1990.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=277298605,82075,59.956085,10.662719,18/04/2023,2.0,Eier (Selveier),785,Oslo
Geitmyrsveien 62,4800000,46,3.0,1917.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299403932,104347,59.933156,10.74205,18/04/2023,3.0,Andel,455,Oslo
Gamlegrensa 6A,1300000,58,,1973.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299255296,22413,59.2180054,9.5891758,18/04/2023,2.0,Andel,3747,Skien
Fæsterlien 17,4290000,126,5.0,1997.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299405290,34047,60.384446,5.223274,18/04/2023,2.0,Eier (Selveier),5184,Olsvik
Jotneveien 3,5300000,197,,1989.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299384151,26903,59.2292582,11.0213344,18/04/2023,,Eier (Selveier),1654,Sellebakk
Dronningens gate 16,4600000,228,,1910.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299253975,20175,60.1639583,10.2608833,18/04/2023,,Eier (Selveier),3510,Hønefoss
Vestregate 32,5800000,169,,1839.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299449144,34319,58.3423448,8.5887358,18/04/2023,,Eier (Selveier),4876,Grimstad
Kløverbakken 5,2700000,112,,1972.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=298671166,24107,60.1856151,11.9868775,18/04/2023,2.0,Andel,2208,Kongsvinger
Bølerlia 14,3600000,73,3.0,1955.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299414726,49315,59.879089,10.846175,18/04/2023,2.0,Andel,691,Oslo
Sandsliåsen 29,3490000,62,3.0,2020.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299337626,56290,60.296667,5.291663,18/04/2023,1.0,Eier (Selveier),5254,Sandsli
Marviksveien 95,5500000,166,,1948.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299444610,33132,58.1505274,8.0233519,18/04/2023,,Eier (Selveier),4632,Kristiansand S
Marviksveien 93,5500000,169,,1948.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299444609,32544,58.1505397,8.0232473,18/04/2023,,Eier (Selveier),4632,Kristiansand S
Fagerliveien 5,3700000,277,,1954.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=279475580,13357,59.4416613,10.6383912,18/04/2023,,Eier (Selveier),1511,Moss
Idrettsveien 14,5700000,218,4.0,1962.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299426748,26146,59.984796,11.235295,18/04/2023,2.0,Eier (Selveier),1920,Sørumsand
Gustav Vigelands vei 1,6700000,70,,2000.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299443483,95714,59.92284,10.687479,18/04/2023,2.0,Eier (Selveier),274,Oslo
Aurdalslia 20,1690000,60,2.0,1990.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=295584229,28166,60.3063254,5.2818878,18/04/2023,5.0,Andel,5253,Sandsli
Akerlia 24,3500000,74,3.0,1955.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299442386,47297,59.949012,10.870994,18/04/2023,1.0,Andel,951,Oslo
Hølandsgata 4a,6400000,64,3.0,1890.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299442139,100000,59.909409,10.779721,18/04/2023,,Eier (Selveier),655,Oslo
Nøstgata 2,3855000,68,4.0,1999.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=280616136,56691,67.2859632,14.3950452,18/04/2023,1.0,Eier (Selveier),8006,Bodø
Frydens gate 5C,4100000,39,2.0,1939.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299431918,105128,59.924558,10.777955,18/04/2023,3.0,Andel,564,Oslo
Smalgangen 11,4800000,87,3.0,1990.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299441124,55172,59.912202,10.760304,18/04/2023,4.0,Eier (Selveier),188,Oslo
Laura Gundersens gate 6,8590000,96,3.0,1939.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299278979,89479,59.926685,10.732156,18/04/2023,4.0,Aksje,168,Oslo
