address,price,area,url,lat,lon,date,price_per_m2,postal_code,city
SKOTTEGATEN 2,14900,56,https://www.finn.no/realestate/lettings/ad.html?finnkode=176407658,60.3936024,5.3164111,18/01/2023,266,5011,Bergen
ØSTENSENVEIEN 8,6800,25,https://www.finn.no/realestate/lettings/ad.html?finnkode=79244373,67.2895754,14.4161,18/01/2023,272,8009,Bodø
Lerkevegen 28,7000,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=90909712,59.2232814,9.549058,18/01/2023,175,3742,Skien
RANDESUNDS GATE 7,14500,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=197323480,58.1463648,8.0202503,18/01/2023,207,4632,Kristiansand S
Haugerudhagan 17,10000,52,https://www.finn.no/realestate/lettings/ad.html?finnkode=209712148,59.919862,10.850926,18/01/2023,192,673,Oslo
Kongens gate 9,14300,37,https://www.finn.no/realestate/lettings/ad.html?finnkode=288157846,59.910135,10.741682,18/01/2023,386,153,Oslo
FRYDENLUND 5,7700,38,https://www.finn.no/realestate/lettings/ad.html?finnkode=274925320,59.1404583,10.2014438,18/01/2023,202,3238,Sandefjord
TORMODS GATE 3 A,5950,11,https://www.finn.no/realestate/lettings/ad.html?finnkode=288156643,63.4201139,10.3965687,18/01/2023,540,7030,Trondheim
Bekkelagsveien 2,14900,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=287349457,59.884458,10.769737,18/01/2023,298,1177,Oslo
Ludvig Musts veg 12,27000,115,https://www.finn.no/realestate/lettings/ad.html?finnkode=288156822,63.420344,10.418215,18/01/2023,234,7052,Trondheim
Breiviksveien 60,6000,66,https://www.finn.no/realestate/lettings/ad.html?finnkode=288149907,60.42339,5.297764,18/01/2023,90,5042,Bergen
Øvre Dr Holms vei 19,12500,63,https://www.finn.no/realestate/lettings/ad.html?finnkode=288150133,59.0560434,10.0434167,18/01/2023,198,3257,Larvik
VINGARVEGEN 2 B,3600,13,https://www.finn.no/realestate/lettings/ad.html?finnkode=288146196,61.1052802,10.4407543,18/01/2023,276,2608,Lillehammer
Mindevegen 20,7000,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=288148209,59.1896533,9.6105829,18/01/2023,100,3733,Skien
Dronning Eufemias gate 45,27000,75,https://www.finn.no/realestate/lettings/ad.html?finnkode=288153538,59.90708,10.759716,18/01/2023,360,194,Oslo
Turbinveien 15,15000,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=288153389,59.903165,10.788089,18/01/2023,333,195,Oslo
OLAV TRYGVASONS VEI 6 B,12000,62,https://www.finn.no/realestate/lettings/ad.html?finnkode=285707578,58.1679017,8.0389489,18/01/2023,193,4633,Kristiansand S
Ansnesveien 71,15000,200,https://www.finn.no/realestate/lettings/ad.html?finnkode=288147366,63.6359846,8.9888391,18/01/2023,75,7241,Ansnes
Magnus Barfots gate 2,24900,63,https://www.finn.no/realestate/lettings/ad.html?finnkode=288150469,59.917845,10.695687,18/01/2023,395,273,Oslo
Hatlestadlia 145,15000,92,https://www.finn.no/realestate/lettings/ad.html?finnkode=278533385,60.2900735,5.3929315,18/01/2023,163,5227,Nesttun
HANS TANKS GATE 5,4990,12,https://www.finn.no/realestate/lettings/ad.html?finnkode=288146011,60.3862399,5.33099,18/01/2023,415,5008,Bergen
Nedre Korskirkeallmenningen 2,18500,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=283736434,60.3944015,5.3265744,18/01/2023,308,5017,Bergen
STORETVEITVEGEN 19,10900,56,https://www.finn.no/realestate/lettings/ad.html?finnkode=79628213,60.3598679,5.3499068,18/01/2023,194,5067,Bergen
ALMVEIEN 21,8300,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=93868845,59.589715,11.177467,18/01/2023,166,1807,Askim
Stokkbekken 130,18000,75,https://www.finn.no/realestate/lettings/ad.html?finnkode=288148411,63.414054,10.4795467,18/01/2023,240,7058,Jakobsli
,13000,63,https://www.finn.no/realestate/lettings/ad.html?finnkode=288123008,63.4304475,10.3952118,18/01/2023,206,7068,Trondheim
Levermyrveien 21B,9800,57,https://www.finn.no/realestate/lettings/ad.html?finnkode=288133946,58.3444806,8.5910162,18/01/2023,171,4878,Grimstad
NILS BAYS VEI 32,17000,66,https://www.finn.no/realestate/lettings/ad.html?finnkode=169075850,59.952839,10.742385,18/01/2023,257,876,Oslo
Ullensakergata 8,19000,102,https://www.finn.no/realestate/lettings/ad.html?finnkode=288145901,59.91118,10.78155,18/01/2023,186,655,Oslo
,6000,15,https://www.finn.no/realestate/lettings/ad.html?finnkode=253883106,59.65579463023457,10.78789959852302,18/01/2023,400,1430,Ås
NORDAHL BRUNS VEG 3,7250,13,https://www.finn.no/realestate/lettings/ad.html?finnkode=268023900,63.4247211,10.4223842,18/01/2023,557,7052,Trondheim
Eidsvolls gate 5,6700,11,https://www.finn.no/realestate/lettings/ad.html?finnkode=187389721,63.4200499,10.4076974,18/01/2023,609,7030,Trondheim
NORDAHL BRUNS VEG 3,5950,11,https://www.finn.no/realestate/lettings/ad.html?finnkode=267412017,63.4247211,10.4223842,18/01/2023,540,7052,Trondheim
KORSBAKKVEGEN 1 A,20000,85,https://www.finn.no/realestate/lettings/ad.html?finnkode=227462909,60.8871663,11.5667236,18/01/2023,235,2408,Elverum
SKANSEVEIEN 2,14000,95,https://www.finn.no/realestate/lettings/ad.html?finnkode=288135957,59.6803532,10.6580415,18/01/2023,147,1445,Drøbak
Eidsdalen 7a,8500,41,https://www.finn.no/realestate/lettings/ad.html?finnkode=281764815,58.185562,8.033482,18/01/2023,207,4634,Kristiansand S
Jåttåvågveien 20 B,11000,43,https://www.finn.no/realestate/lettings/ad.html?finnkode=81146801,58.917321,5.730789,18/01/2023,255,4020,Stavanger
SLEMBEVEGEN 5,13000,130,https://www.finn.no/realestate/lettings/ad.html?finnkode=288045232,60.4924679,5.2620264,18/01/2023,100,5137,Mjølkeråen
MØLLENDALSBAKKEN 1,13000,48,https://www.finn.no/realestate/lettings/ad.html?finnkode=76362841,60.377923,5.354419,18/01/2023,270,5009,Bergen
St. jørgens vei 57,15000,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=160926214,59.921506,10.798294,18/01/2023,214,662,Oslo
Kilden Øvre 6B,10000,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=254935395,60.709181,10.614776,18/01/2023,166,2835,Raufoss
Gransbråten 30,13000,110,https://www.finn.no/realestate/lettings/ad.html?finnkode=197092746,60.360524,10.540815,18/01/2023,118,2750,Gran
Eplehagan 42,12500,44,https://www.finn.no/realestate/lettings/ad.html?finnkode=246649676,59.482059,10.30964,18/01/2023,284,3084,Holmestrand
Austemarka 21,14000,125,https://www.finn.no/realestate/lettings/ad.html?finnkode=288133230,60.5087021,4.9138296,18/01/2023,112,5337,Rong
Ringvegen 61,6500,20,https://www.finn.no/realestate/lettings/ad.html?finnkode=207190741,60.769657,11.136517,18/01/2023,325,2312,Ottestad
THERESES GATE 39,12500,20,https://www.finn.no/realestate/lettings/ad.html?finnkode=236862999,59.926974,10.731384,18/01/2023,625,354,Oslo
Bøckmans veg 7a,4500,11,https://www.finn.no/realestate/lettings/ad.html?finnkode=237546868,63.4091386,10.3816244,18/01/2023,409,7019,Trondheim
Skonnertveien 18,15000,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=288136195,58.106616,7.96059,18/01/2023,250,4624,Kristiansand S
Banebakken 41 A,13800,79,https://www.finn.no/realestate/lettings/ad.html?finnkode=288135670,59.260319,10.410572,18/01/2023,174,3127,Tønsberg
Ydalirvegen 2,7000,23,https://www.finn.no/realestate/lettings/ad.html?finnkode=258581463,60.8882549,11.5746268,18/01/2023,304,2413,Elverum
Skårerveien 12,18000,94,https://www.finn.no/realestate/lettings/ad.html?finnkode=288133868,59.941392,10.947937,18/01/2023,191,1470,Lørenskog
TROSVIKVEGEN 68,10500,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=138663564,59.0529201,9.6982328,18/01/2023,210,3950,Brevik
Henrik Wergelands gate 76a,11500,55,https://www.finn.no/realestate/lettings/ad.html?finnkode=108281455,58.1495227,7.9964305,18/01/2023,209,4614,Kristiansand S
Kilden Nedre 14B,10000,35,https://www.finn.no/realestate/lettings/ad.html?finnkode=288132855,60.708233,10.614063,18/01/2023,285,2835,Raufoss
KATTESTENVEIEN 11,7500,44,https://www.finn.no/realestate/lettings/ad.html?finnkode=263488660,59.1452328,11.3888716,18/01/2023,170,1784,Halden
AAD GJELLES GATE 25,7000,15,https://www.finn.no/realestate/lettings/ad.html?finnkode=286123755,60.4078972,5.3259685,18/01/2023,466,5036,Bergen
Kilden Nedre 1F,13500,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=287375231,60.708583,10.613364,18/01/2023,225,2835,Raufoss
Kanalveien 9,15000,49,https://www.finn.no/realestate/lettings/ad.html?finnkode=78325723,59.9518012,11.0456478,18/01/2023,306,2004,Lillestrøm
Neuberggata 3B,17500,37,https://www.finn.no/realestate/lettings/ad.html?finnkode=287846392,59.924916,10.714244,18/01/2023,472,367,Oslo
Fururabben 39,9000,32,https://www.finn.no/realestate/lettings/ad.html?finnkode=288125579,59.794927,10.810994,18/01/2023,281,1412,Sofiemyr
,8088,12,https://www.finn.no/realestate/lettings/ad.html?finnkode=288124840,59.9133301,10.7389701,18/01/2023,674,477,Oslo
Strømsø Torg 5E,8500,20,https://www.finn.no/realestate/lettings/ad.html?finnkode=224237045,59.73959,10.204268,18/01/2023,425,3044,Drammen
HEGDEHAUGSVEIEN 32,7000,15,https://www.finn.no/realestate/lettings/ad.html?finnkode=288130023,59.92181,10.72649,18/01/2023,466,352,Oslo
SLÅTTMYRVEGEN 9,7500,38,https://www.finn.no/realestate/lettings/ad.html?finnkode=287845870,60.8967813,11.5195179,18/01/2023,197,2406,Elverum
Furuholtet 7,16000,112,https://www.finn.no/realestate/lettings/ad.html?finnkode=288046446,59.7418557,10.6062127,18/01/2023,142,1454,Fagerstrand
Tormod Knutsens veg 2,13500,73,https://www.finn.no/realestate/lettings/ad.html?finnkode=287941948,60.283285,11.174045,18/01/2023,184,2070,Råholt
ARNEGÅRDSVEIEN 9 A,15500,105,https://www.finn.no/realestate/lettings/ad.html?finnkode=208971618,60.1494662,10.2561198,18/01/2023,147,3511,Hønefoss
ALMEVEIEN 2,8700,46,https://www.finn.no/realestate/lettings/ad.html?finnkode=72426070,60.004827,10.9251737,18/01/2023,189,1481,Hagan
