address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Markabygdvegen 325,1800000,162,4.0,1972.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299410554,11111,63.4172759,10.6308903,20/04/2023,,Eier (Selveier),7560,Vikhammer
Karolinerveien 8C,2350000,32,,1967.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299702412,73437,63.4090197,10.3591695,20/04/2023,3.0,Andel,7021,Trondheim
Øvre Granåslia 21,3590000,67,,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299701667,53582,63.416708,10.465145,20/04/2023,1.0,Eier (Selveier),7047,Trondheim
Sporveien 41A,3890000,73,,2017.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299701523,53287,59.319914,10.390117,20/04/2023,1.0,Eier (Selveier),3157,Barkåker
Øvre Maihaugen 1 A,1290000,74,,1973.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299700169,17432,59.2242418,9.5638793,20/04/2023,4.0,Andel,3741,Skien
Midtåsen 17 B,17490000,181,,2023.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299699936,96629,59.857399,10.795456,20/04/2023,,Eier (Selveier),1166,Oslo
Erik Werenskiolds veg 17D,3240000,156,,1957.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299699128,20769,60.801543,11.0867236,20/04/2023,,Eier (Selveier),2318,Hamar
Sagbruksveien 44,3850000,49,2.0,2023.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299649791,78571,59.950398,11.006862,20/04/2023,1.0,Eier (Selveier),2010,Strømmen
Kalfarveien 41,8500000,108,4.0,1906.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299662113,78703,60.3873822,5.3441005,20/04/2023,2.0,Eier (Selveier),5022,Bergen
Ordfører Karlsens vei 9F,2300000,62,3.0,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299697113,37096,59.271918,11.065066,20/04/2023,2.0,Andel,1715,Yven
Liengvegen 5,3300000,172,4.0,2007.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299552727,19186,60.6420205,11.0023541,20/04/2023,1.0,Eier (Selveier),2848,Skreia
Hetlevikstraumen 5,2050000,57,1.0,1978.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299673114,35964,60.3484404,5.2329035,20/04/2023,4.0,Andel,5173,Loddefjord
Enebakkveien 200,19000000,434,,1952.0,Andre,https://www.finn.no/realestate/homes/ad.html?finnkode=299695738,43778,59.889721,10.81268,20/04/2023,,Eier (Selveier),680,Oslo
Fantoftvegen 16B,3290000,48,2.0,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299659712,68541,60.346161,5.352119,20/04/2023,2.0,Eier (Selveier),5072,Bergen
