address,price,area,url,lat,lon,date,price_per_m2,postal_code,city
Storgata 32,8200 ,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=290191219,60.725866,10.613693,04/02/2023,205.0,2830,Raufoss
Storgata 32,9200 ,58,https://www.finn.no/realestate/lettings/ad.html?finnkode=290189428,60.725866,10.613693,04/02/2023,158.0,2830,Raufoss
Storgata 32,8000 ,48,https://www.finn.no/realestate/lettings/ad.html?finnkode=290185475,60.725866,10.613693,04/02/2023,166.0,2830,Raufoss
Gullvikvegen 26,3700 ,15,https://www.finn.no/realestate/lettings/ad.html?finnkode=290185232,64.4697007,11.4810524,04/02/2023,246.0,7802,Namsos
ASKELADDVEIEN 7 A,10000 ,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=74269680,58.9491552,5.7125748,04/02/2023,166.0,4011,Stavanger
Freserveien 37,25000 ,73,https://www.finn.no/realestate/lettings/ad.html?finnkode=290176719,59.9024,10.788557,04/02/2023,342.0,195,Oslo
Vittenbergveien 109,12000 ,38,https://www.finn.no/realestate/lettings/ad.html?finnkode=257749520,59.937929,11.00238,04/02/2023,315.0,1472,Fjellhamar
LANGEMYRJORDET 8,5000 ,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=60293992,58.323667,8.561322,04/02/2023,125.0,4879,Grimstad
Midtvangvegen 132,8000 ,75,https://www.finn.no/realestate/lettings/ad.html?finnkode=290168444,60.820847,11.1311394,04/02/2023,106.0,2323,Ingeberg
Brunevegen 49,7500 ,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=78417063,61.496449,5.969147,04/02/2023,150.0,6811,Førde
Hoffsjef Løvenskiolds vei 31E,"18500,–",79,https://www.finn.no/realestate/lettings/ad.html?finnkode=289953528,59.931545,10.643649,04/02/2023,,382,Oslo
Høyås 6,"11000,–",40,https://www.finn.no/realestate/lettings/ad.html?finnkode=290099701,59.275592,11.063276,04/02/2023,,1715,Yven
Ringveien 41D,"9500,–",30,https://www.finn.no/realestate/lettings/ad.html?finnkode=289833244,60.061337,10.851713,04/02/2023,,1482,Nittedal
Hektnerhagan 147,"15000,–",77,https://www.finn.no/realestate/lettings/ad.html?finnkode=289971491,59.8985921,11.0868028,04/02/2023,,2008,Fjerdingby
Å-veien 59,15000 ,150,https://www.finn.no/realestate/lettings/ad.html?finnkode=230752796,67.8793789,12.9853307,04/02/2023,100.0,8392,Sørvågen
Keysers gate,7500 ,12,https://www.finn.no/realestate/lettings/ad.html?finnkode=270636831,59.9166852,10.7417014,04/02/2023,625.0,165,Oslo
Høienhaldgata 33,6000 ,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=259631293,59.4285655,10.6689261,04/02/2023,150.0,1530,Moss
