address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Sandakerveien 23B,2900000,21,1.0,1936.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=302499107,138095,59.933486,10.76133,09/05/2023,4.0,Eier (Selveier),473,Oslo
Sanddalsringen 112,4990000,117,5.0,1986.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=302517119,42649,60.3269495,5.3724003,09/05/2023,2.0,Eier (Selveier),5225,Nesttun
Glasskaråsen 31 Øvre,8750000,190,6.0,2001.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=302534840,46052,60.4487017,5.3252669,09/05/2023,,Eier (Selveier),5106,Ervik
Urds vei 9,3690000,119,,1953.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=302547900,31008,58.1572002,8.0249039,09/05/2023,1.0,Eier (Selveier),4632,Kristiansand S
Hofftunet 19,7750000,79,,1988.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=302547120,98101,59.929189,10.672467,09/05/2023,2.0,Eier (Selveier),377,Oslo
Langmyrvegen 37,3350000,210,,1978.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=302527177,15952,59.2714437,9.7007168,09/05/2023,,Eier (Selveier),3748,Siljan
Bergsrudsvingen 12,3800000,80,,2020.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=302541899,47500,68.211535,14.43798,09/05/2023,,Eier (Selveier),8310,Kabelvåg
Tostenhagen 54,5500000,207,,1999.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=302544783,26570,58.995472,5.744714,09/05/2023,,Eier (Selveier),4085,Hundvåg
Bjarne Haugens gate 41,2190000,63,4.0,2023.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=302544250,34761,59.917683,10.953805,09/05/2023,1.0,Andel,1475,Finstadjordet
Løvliveien 1B Gamle,6290000,322,,1982.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=302355317,19534,59.2098317,10.9960806,09/05/2023,,Eier (Selveier),1639,Fredrikstad
Kristian Bings vei 7,2300000,65,3.0,1951.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=302543992,35384,60.3660469,5.3366742,09/05/2023,,Aksje,5073,Bergen
Taubaneveien 48,12900000,241,5.0,2005.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=302499804,53526,58.4411811,8.7280414,09/05/2023,3.0,Eier (Selveier),4825,Arendal
Bjarne Haugens gate 41,1590000,38,2.0,2023.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=302543170,41842,59.917683,10.953805,09/05/2023,1.0,Andel,1475,Finstadjordet
Olav Kyrres gate 11,4480000,253,,1917.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=302542104,17707,59.419227,5.2652782,09/05/2023,,Eier (Selveier),5523,Haugesund
Carl Konows gate 36,1490000,26,,1967.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=302542048,57307,60.38356,5.310809,09/05/2023,3.0,Eier (Selveier),5162,Laksevåg
Blomstervegen 60,2400000,115,4.0,1975.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294935590,20869,60.182122,11.9919532,09/05/2023,2.0,Andel,2208,Kongsvinger
Grøtemsvegen 165,2950000,193,6.0,1994.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=302513481,15284,63.2559675,10.936769,09/05/2023,2.0,Eier (Selveier),7584,Selbustrand
Synnavinden 37B,6950000,123,5.0,1991.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=302541134,56504,69.6709673,18.937314,09/05/2023,,Eier (Selveier),9015,Tromsø
