address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Lyngtrekket 8B,10750000,211,7.0,2020.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298811569,50947,59.943193,10.923343,16/04/2023,3.0,Eier (Selveier),1086,Oslo
Nordre Skogveien 11,3250000,61,2.0,1993.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299079447,53278,60.3777407,5.3259195,16/04/2023,3.0,Eier (Selveier),5057,Bergen
Ingelbrecht Knudssøns gate 4B,2750000,21,1.0,1878.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299078118,130952,59.927574,10.721914,16/04/2023,1.0,Eier (Selveier),365,Oslo
Turbinveien 21,4000000,83,4.0,2014.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299073653,48192,59.9033,10.787583,16/04/2023,3.0,Andel,195,Oslo
Dannevigsveien 18A,3800000,35,1.0,1941.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299070606,108571,59.937279,10.752844,16/04/2023,4.0,Eier (Selveier),463,Oslo
Toftes gate 14B,4490000,44,2.0,1895.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299070481,102045,59.92919,10.761347,16/04/2023,4.0,Eier (Selveier),556,Oslo
Christies gate 22A,3990000,40,2.0,1899.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299068230,99750,59.92779,10.764597,16/04/2023,2.0,Eier (Selveier),557,Oslo
Antenneveien 9,3700000,49,2.0,1955.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298499765,75510,59.873879,10.819071,16/04/2023,4.0,Andel,1154,Oslo
Romeveien 19,7500000,229,,2012.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=292475172,32751,58.1863275,8.0367628,16/04/2023,,Eier (Selveier),4634,Kristiansand S
Brettevilles gate 33,5800000,68,2.0,1926.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299064957,85294,59.940165,10.77616,16/04/2023,2.0,Andel,481,Oslo
Karl Staaffs vei 14,3300000,54,2.0,1954.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298793401,61111,59.91915,10.816235,16/04/2023,3.0,Andel,665,Oslo
St Olavs gate 18B,2190000,35,,1918.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299063406,62571,59.2674825,10.416549,16/04/2023,2.0,Eier (Selveier),3110,Tønsberg
Grüners gate 11,7850000,100,3.0,1875.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299063530,78500,59.923343,10.759999,16/04/2023,3.0,Andel,552,Oslo
Østbysvingen 8,5900000,201,6.0,1998.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299063479,29353,60.0811134,11.1287982,16/04/2023,,Eier (Selveier),2040,Kløfta
Tyslandsløkka 5,2900000,62,2.0,1984.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299063477,46774,59.926031,10.450606,16/04/2023,,Eier (Selveier),1340,Skui
Hagabergveien 18A,1300000,47,,2006.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299063531,27659,59.203331,10.444223,16/04/2023,,Andel,3138,Skallestad
C.N.R. Aamundsens vei 6A,12900000,175,,1952.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299063586,73714,59.936162,10.594166,16/04/2023,,Eier (Selveier),1362,Hosle
