address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Halsmovegen 81,3200000,186,7.0,1975.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301613246,17204,65.8603137,13.196042,10/05/2023,,Eier (Selveier),8663,Mosjøen
Nedre vei 13,6950000,119,5.0,1841.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=302627331,58403,59.4278812,10.4900379,10/05/2023,,Andel,3183,Horten
Fagerlia 15A,3800000,97,4.0,2018.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=302510854,39175,61.595989,5.072051,10/05/2023,2.0,Eier (Selveier),6908,Florø
Store Skippergate 24,7990000,111,,1865.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=302652682,71981,58.9692027,5.7419036,10/05/2023,,Eier (Selveier),4013,Stavanger
Rødsvingelvegen 30,4490000,109,4.0,2023.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=302678175,41192,60.219852,11.036625,10/05/2023,2.0,Eier (Selveier),2030,Nannestad
Landboden 67,2000000,48,3.0,1974.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=302656179,41666,60.1890944,5.4718966,10/05/2023,2.0,Eier (Selveier),5200,Os
Operagata 27,6490000,52,2.0,2019.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=302682676,124807,59.90723,10.756727,10/05/2023,2.0,Eier (Selveier),194,Oslo
Nyheimvegen 11,3400000,134,3.0,1965.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300454043,25373,61.5939749,5.0088961,10/05/2023,2.0,Eier (Selveier),6905,Florø
Gildheimsvegen 5B,4490000,88,,2013.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=302680698,51022,63.4322031,10.4643742,10/05/2023,2.0,Eier (Selveier),7044,Trondheim
Skifabrikksvingen 11,3850000,44,,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=302648518,87500,59.717072,10.800312,10/05/2023,3.0,Eier (Selveier),1406,Ski
Markavegen 53,3490000,287,,2000.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=302676834,12160,59.0932062,9.8068964,10/05/2023,,Eier (Selveier),3947,Langangen
Øvre Ulsrud 2,3700000,163,4.0,1979.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=295824623,22699,60.82176,10.6648273,10/05/2023,2.0,Eier (Selveier),2825,Gjøvik
Lenafjellet 6,3800000,84,3.0,2006.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=302329293,45238,59.212598,10.905661,10/05/2023,,Eier (Selveier),1621,Gressvik
Broveien 23,28500000,279,7.0,1988.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=302369670,102150,59.8727256,10.5094509,10/05/2023,,Eier (Selveier),1397,Nesøya
Skolestredet 13,6390000,174,,1890.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=302674254,36724,59.050866,10.011724,10/05/2023,,Eier (Selveier),3264,Larvik
Øvresflata 29A,495000,55,2.0,2016.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301708936,9000,63.797962,11.164651,10/05/2023,1.0,Andel,7629,Ytterøy
