address,price,area,url,lat,lon,date,price_per_m2,postal_code,city
Granlia 5B,4000,11,https://www.finn.no/realestate/lettings/ad.html?finnkode=125165610,62.7450229,7.1764708,20/01/2023,363,6429,Molde
,6500,35,https://www.finn.no/realestate/lettings/ad.html?finnkode=176351883,59.3877705,9.1747361,20/01/2023,185,3810,Gvarv
Nordre Skuterudvei 9,12000,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=71797403,59.6801975,10.8143306,20/01/2023,200,1434,Ås
Vassvikveien 58B,10000,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=288386262,59.066467,9.99256,20/01/2023,166,3268,Larvik
KLOSTERGATA 37 B,10500,38,https://www.finn.no/realestate/lettings/ad.html?finnkode=288374049,63.4227684,10.3899399,20/01/2023,276,7030,Trondheim
KORSBAKKVEGEN 1 A,5000,12,https://www.finn.no/realestate/lettings/ad.html?finnkode=228351749,60.8871663,11.5667236,20/01/2023,416,2408,Elverum
Terøykroken 18,7000,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=231348682,62.5523971,6.2551313,20/01/2023,116,6280,Søvik
LEIKVOLLEN 6 A,16000,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=286590402,59.714003,10.840142,20/01/2023,228,1400,Ski
SJØMANNSVEGEN 1 D,9500,42,https://www.finn.no/realestate/lettings/ad.html?finnkode=270483841,62.469429,6.194917,20/01/2023,226,6008,Ålesund
Rødborge,2900,13,https://www.finn.no/realestate/lettings/ad.html?finnkode=286050319,59.1622556,9.6617389,20/01/2023,223,3711,Skien
Bygdøy Alle 33b,14500,42,https://www.finn.no/realestate/lettings/ad.html?finnkode=77083512,59.916905,10.710772,20/01/2023,345,262,Oslo
Moysandveien 27,7000,65,https://www.finn.no/realestate/lettings/ad.html?finnkode=288386704,58.361611,8.647522,20/01/2023,107,4885,Grimstad
M B LANDSTADS GATE 1 A,14000,82,https://www.finn.no/realestate/lettings/ad.html?finnkode=288383346,63.7959622,11.48619,20/01/2023,170,7650,Verdal
,13000,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=114415610,59.9133301,10.7389701,20/01/2023,288,283,Oslo
Lingelemveien 95,14700,92,https://www.finn.no/realestate/lettings/ad.html?finnkode=288389245,59.15874,10.22272,20/01/2023,159,3225,Sandefjord
NEDRE BRAKKAN 8 A Løkken,8500,75,https://www.finn.no/realestate/lettings/ad.html?finnkode=82090021,63.125503,9.6982615,20/01/2023,113,7332,Verk
NEDRE BRAKKAN 8 B Løkken,4500,65,https://www.finn.no/realestate/lettings/ad.html?finnkode=83474264,63.1256463,9.6983406,20/01/2023,69,7332,Verk
SKOLEGATA 5,5900,20,https://www.finn.no/realestate/lettings/ad.html?finnkode=114034578,63.6870878,9.6643255,20/01/2023,295,7130,Brekstad
HERSTRØM 1,8300,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=138157548,59.7578472,10.0565462,20/01/2023,138,3058,Solbergmoen
Smedskaret 26,6000,29,https://www.finn.no/realestate/lettings/ad.html?finnkode=100419897,59.198264,10.9353763,20/01/2023,206,1672,Kråkerøy
Kirkebyveien 7,19000,171,https://www.finn.no/realestate/lettings/ad.html?finnkode=288386163,59.9635055,10.4768425,20/01/2023,111,1350,Lommedalen
Mosbronvegen 4,7000,38,https://www.finn.no/realestate/lettings/ad.html?finnkode=175312321,59.2529023,5.2000155,20/01/2023,184,4270,Åkrehamn
VESTRE TORGGATEN 6,6750,11,https://www.finn.no/realestate/lettings/ad.html?finnkode=288385052,60.390446,5.321889,20/01/2023,613,5015,Bergen
Leikongvegen 350,3500,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=72849669,62.2504635,5.7821357,20/01/2023,43,6080,Gurskøy
Averstadmoen 4 D,10000,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=27416081,60.079185,11.133838,20/01/2023,166,2040,Kløfta
Ranheimsmoen 31c,12500,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=288378890,63.416412,10.5615012,20/01/2023,178,7054,Ranheim
Vestre Torggaten 10,6750,12,https://www.finn.no/realestate/lettings/ad.html?finnkode=288371562,60.390334,5.32172,20/01/2023,562,5015,Bergen
PILESTREDET 97,8300,23,https://www.finn.no/realestate/lettings/ad.html?finnkode=288379851,59.931325,10.729714,20/01/2023,360,358,Oslo
Kjellbergveien 50,10000,42,https://www.finn.no/realestate/lettings/ad.html?finnkode=253541011,59.1236801,10.1993808,20/01/2023,238,3213,Sandefjord
BRYGGELIA 4,16000,162,https://www.finn.no/realestate/lettings/ad.html?finnkode=288379215,58.1214857,7.9591229,20/01/2023,98,4621,Kristiansand S
Mandalls gate 12,25000,69,https://www.finn.no/realestate/lettings/ad.html?finnkode=288384327,59.911043,10.76373,20/01/2023,362,190,Oslo
SLETTELØKKA 44 A,10500,16,https://www.finn.no/realestate/lettings/ad.html?finnkode=92285982,59.949755,10.852718,20/01/2023,656,597,Oslo
Åmotbakken 43,15900,219,https://www.finn.no/realestate/lettings/ad.html?finnkode=288382678,59.1573422,9.6598774,20/01/2023,72,3911,Porsgrunn
TORRIDALSVEIEN 140,6000,24,https://www.finn.no/realestate/lettings/ad.html?finnkode=112234290,58.1725721,7.9774475,20/01/2023,250,4630,Kristiansand S
Stemmehaugen 17,10000,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=254501904,61.2342959,7.0692381,20/01/2023,125,6856,Sogndal
Arendalsgata 6,20000,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=285776122,59.938295,10.751395,20/01/2023,400,461,Oslo
Stemmehaugen 17,10000,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=254501904,61.2342959,7.0692381,20/01/2023,125,6856,Sogndal
Øvre Vikane 36A,11000,75,https://www.finn.no/realestate/lettings/ad.html?finnkode=270113819,60.4288562,5.1479061,20/01/2023,146,5304,Hetlevik
Middelthuns gate 21 C,23000,77,https://www.finn.no/realestate/lettings/ad.html?finnkode=283973928,59.927872,10.709994,20/01/2023,298,368,Oslo
Stølen 23,12000,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=281581973,59.7722839,5.4968404,20/01/2023,240,5411,Stord
Neuberggata 3,29900,107,https://www.finn.no/realestate/lettings/ad.html?finnkode=288379945,59.924966,10.71387,20/01/2023,279,367,Oslo
Brakahaugen 4,5000,11,https://www.finn.no/realestate/lettings/ad.html?finnkode=288364293,60.3797244,5.1523552,20/01/2023,454,5355,Knarrevik
,14500,120,https://www.finn.no/realestate/lettings/ad.html?finnkode=288375478,59.0967308,10.02192995997281,20/01/2023,120,3257,Larvik
OSLOVEIEN 170,17000,255,https://www.finn.no/realestate/lettings/ad.html?finnkode=282386822,59.5878663,11.1191847,20/01/2023,66,1815,Askim
Vierkjerrkroken 130,5200,12,https://www.finn.no/realestate/lettings/ad.html?finnkode=253127159,59.91746,11.4244393,20/01/2023,433,1930,Aurskog
SVEN BRUNS GATE 2,16500,48,https://www.finn.no/realestate/lettings/ad.html?finnkode=288378092,59.919053,10.73335,20/01/2023,343,166,Oslo
Sigurd Weisæths vei 7D,12800,42,https://www.finn.no/realestate/lettings/ad.html?finnkode=288371627,59.952513,10.93214,20/01/2023,304,981,Oslo
VERKSGATA 42,20000,72,https://www.finn.no/realestate/lettings/ad.html?finnkode=288374334,58.970932,5.741966,20/01/2023,277,4013,Stavanger
Lørenvangen 19,17500,52,https://www.finn.no/realestate/lettings/ad.html?finnkode=260137948,59.9302785,10.7966862,20/01/2023,336,585,Oslo
Jonsvannsveien 27,5900,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=288375934,63.4187497,10.4125618,20/01/2023,84,7052,Trondheim
Jonsvannsveien 27,6200,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=288375598,63.4187497,10.4125618,20/01/2023,88,7052,Trondheim
Silurveien 44,20000,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=283473055,59.93316,10.658108,20/01/2023,285,380,Oslo
Grevlingveien,12000,27,https://www.finn.no/realestate/lettings/ad.html?finnkode=211359443,59.9456663,10.8506122,20/01/2023,444,595,Oslo
Pilestredet Park 25,16300,47,https://www.finn.no/realestate/lettings/ad.html?finnkode=47234097,59.919229,10.737045,20/01/2023,346,176,Oslo
Solstrandvegen 265,8500,29,https://www.finn.no/realestate/lettings/ad.html?finnkode=92812138,69.6390069,18.9706229,20/01/2023,293,9020,Tromsdalen
Osloveien 151,15000,94,https://www.finn.no/realestate/lettings/ad.html?finnkode=241850236,59.676994,10.7454451,20/01/2023,159,1430,Ås
FALKENSTENSVEIEN 21,5000,230,https://www.finn.no/realestate/lettings/ad.html?finnkode=281177998,59.424545,10.4602608,20/01/2023,21,3183,Horten
Osloveien 151,5500,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=246219279,59.676994,10.7454451,20/01/2023,110,1430,Ås
BYGDØY ALLÉ 7,14700,53,https://www.finn.no/realestate/lettings/ad.html?finnkode=288362092,59.915279,10.716118,20/01/2023,277,257,Oslo
Norheimsveien 17,9500,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=233751307,58.979057,5.696528,20/01/2023,237,4026,Stavanger
ASLAUG VAAS VEG 1A-C,30000,120,https://www.finn.no/realestate/lettings/ad.html?finnkode=271351681,59.9614889,10.6521349,20/01/2023,250,766,Oslo
Finstadvollen 5,28000,164,https://www.finn.no/realestate/lettings/ad.html?finnkode=285463924,59.911068,10.958703,20/01/2023,170,1475,Finstadjordet
KOLLERUDVEIEN 46,18500,206,https://www.finn.no/realestate/lettings/ad.html?finnkode=288364336,59.7163091,10.1276778,20/01/2023,89,3031,Drammen
Briskebyveien 22B,20000,53,https://www.finn.no/realestate/lettings/ad.html?finnkode=288360223,59.919686,10.71833,20/01/2023,377,259,Oslo
Runivegen 18,10000,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=85802242,59.9431,11.0540214,20/01/2023,200,2005,Rælingen
markvegen 22,10000,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=240359131,63.7402104,11.2952825,20/01/2023,166,7605,Levanger
Kapteinsvingen 8 B,6500,26,https://www.finn.no/realestate/lettings/ad.html?finnkode=288366969,59.1334523,10.2005341,20/01/2023,250,3214,Sandefjord
DOKTOR NARVERUDS VEI 58,16000,109,https://www.finn.no/realestate/lettings/ad.html?finnkode=288360785,59.7540006,10.1504302,20/01/2023,146,3024,Drammen
Fagerheimgata 22,18770,35,https://www.finn.no/realestate/lettings/ad.html?finnkode=288366472,59.930881,10.770599,20/01/2023,536,475,Oslo
FREDRIKSBERGVEGEN 22,13000,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=288357946,60.8924491,11.5615073,20/01/2023,162,2408,Elverum
Høgåstoppen 61B,9000,30,https://www.finn.no/realestate/lettings/ad.html?finnkode=285132752,59.828703,11.134739,20/01/2023,300,1911,Flateby
,10000,37,https://www.finn.no/realestate/lettings/ad.html?finnkode=127266894,60.3943055,5.3259192,20/01/2023,270,5067,Bergen
Majorstua,13000,25,https://www.finn.no/realestate/lettings/ad.html?finnkode=288357952,59.9292711,10.7155691,20/01/2023,520,367,Oslo
Sandakerveien 14a,20500,56,https://www.finn.no/realestate/lettings/ad.html?finnkode=288364155,59.93303,10.760303,20/01/2023,366,473,Oslo
WILHELMS GATE 3,11000,35,https://www.finn.no/realestate/lettings/ad.html?finnkode=288361820,59.92698,10.732959,20/01/2023,314,168,Oslo
Pegasusvegen 54,16000,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=288354453,60.1198806,11.3345065,20/01/2023,200,2165,Hvam
Haakon VII's gate 36,23000,190,https://www.finn.no/realestate/lettings/ad.html?finnkode=283468643,69.654809,18.939171,20/01/2023,121,9011,Tromsø
Brattåsen 18,7000,49,https://www.finn.no/realestate/lettings/ad.html?finnkode=162231525,62.7492675,7.2140767,20/01/2023,142,6423,Molde
Malerhaugveien 20 C,26900,87,https://www.finn.no/realestate/lettings/ad.html?finnkode=288362070,59.914625,10.791984,20/01/2023,309,661,Oslo
Professor Kohts vei 109,11900,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=248804171,59.905424,10.604931,20/01/2023,297,1368,Stabekk
Refstadveien 40,19000,115,https://www.finn.no/realestate/lettings/ad.html?finnkode=288361725,59.941996,10.807068,20/01/2023,165,589,Oslo
Vardåsveien 134,9000,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=285104655,58.1446234,8.061307,20/01/2023,200,4637,Kristiansand S
Ringeriksveien 293,9500,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=266299414,59.823962,10.2542556,20/01/2023,211,3406,Tranby
Lillian Byes Veg 16,12000,39,https://www.finn.no/realestate/lettings/ad.html?finnkode=288360519,63.3884016,10.43189,20/01/2023,307,7036,Trondheim
SOGSTIVEIEN 81,9200,27,https://www.finn.no/realestate/lettings/ad.html?finnkode=91891394,59.6574387,10.6389483,20/01/2023,340,1446,Drøbak
Stillverksveien 20,14500,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=98334360,59.9524567,11.0472401,20/01/2023,290,2004,Lillestrøm
Tressberga,7500,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=288352833,60.3797669,5.1125809,20/01/2023,166,5353,Straume
VERKSGATA 46,16500,100,https://www.finn.no/realestate/lettings/ad.html?finnkode=285103889,58.9708989,5.7421612,20/01/2023,165,4013,Stavanger
Gardtunet,8000,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=178573099,59.429104,5.2685148,20/01/2023,114,5518,Haugesund
ENGVEIEN 1,12000,54,https://www.finn.no/realestate/lettings/ad.html?finnkode=112452729,59.723396,10.833219,20/01/2023,222,1423,Ski
Etnedalsvegen,7000,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=288199331,61.0291463,9.5794572,20/01/2023,87,2857,Etnedal
Bømloveien 3,6800,28,https://www.finn.no/realestate/lettings/ad.html?finnkode=185221934,58.9965756,5.6799046,20/01/2023,242,4029,Stavanger
Marieroalleen 26,14000,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=288297141,58.9358659,5.751209,20/01/2023,200,4017,Stavanger
Vegamot 1,5490,12,https://www.finn.no/realestate/lettings/ad.html?finnkode=288346807,63.4101423,10.4470221,20/01/2023,457,7049,Trondheim
,10000,86,https://www.finn.no/realestate/lettings/ad.html?finnkode=287975736,58.9297144,5.8488049,20/01/2023,116,4311,Hommersåk
