address,price,area,url,lat,lon,date,price_per_m2,postal_code,city
SUNDGATA 14,9500,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=163593019,60.32908,11.257463,23/01/2023,190,2080,Eidsvoll
Grorudveien 98F,18000,56,https://www.finn.no/realestate/lettings/ad.html?finnkode=243478604,59.948798,10.891645,23/01/2023,321,1053,Oslo
Betzy Kjelsbergs vei 217 B,18000,123,https://www.finn.no/realestate/lettings/ad.html?finnkode=288748310,59.7555882,10.1299638,23/01/2023,146,3028,Drammen
leitetunet 7,5500,12,https://www.finn.no/realestate/lettings/ad.html?finnkode=288743468,67.289077,14.4147195,23/01/2023,458,8009,Bodø
Høyveien 31,7500,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=99773366,58.4623862,8.7594155,23/01/2023,150,4838,Arendal
NORDAHL BRUNS VEG 11,11000,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=271913082,63.4238431,10.4219224,23/01/2023,244,7052,Trondheim
Grønlundveien 6,7900,42,https://www.finn.no/realestate/lettings/ad.html?finnkode=288742149,59.5860246,11.1902078,23/01/2023,188,1809,Askim
Trondheimsveien 30,19900,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=288746066,59.920421,10.767662,23/01/2023,284,560,Oslo
Garnesvegen 23 Indre,7500,65,https://www.finn.no/realestate/lettings/ad.html?finnkode=66953551,60.4327998,5.4652499,23/01/2023,115,5260,Arna
Frankendalsbakken 7 H,11000,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=288732167,59.05026,10.04682,23/01/2023,244,3262,Larvik
,8500,42,https://www.finn.no/realestate/lettings/ad.html?finnkode=288735400,58.9699675,5.7318101,23/01/2023,202,4016,Stavanger
Orreskogen 1,11500,33,https://www.finn.no/realestate/lettings/ad.html?finnkode=199675336,59.973016,10.651035,23/01/2023,348,788,Oslo
Freserveien 39,7500,14,https://www.finn.no/realestate/lettings/ad.html?finnkode=273754364,59.902606,10.788125,23/01/2023,535,195,Oslo
SOLHEIMSGATA 9,14000,42,https://www.finn.no/realestate/lettings/ad.html?finnkode=288353701,59.955276,11.050921,23/01/2023,333,2000,Lillestrøm
Damsgårdsveien 146,4900,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=139616217,60.3847755,5.308293,23/01/2023,70,5160,Laksevåg
Oberst Rodes Vei 38A,9800,18,https://www.finn.no/realestate/lettings/ad.html?finnkode=257767305,59.872596,10.807264,23/01/2023,544,1152,Oslo
Nedre ila 13a,11900,28,https://www.finn.no/realestate/lettings/ad.html?finnkode=272174637,63.4313667,10.3705456,23/01/2023,425,7018,Trondheim
Solliavegen 17,11500,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=267480988,60.1258664,11.2129566,23/01/2023,255,2052,Jessheim
Vegamot 26,4900,15,https://www.finn.no/realestate/lettings/ad.html?finnkode=288739302,63.4107374,10.4456636,23/01/2023,326,7048,Trondheim
Søndre Gate 19,6100,11,https://www.finn.no/realestate/lettings/ad.html?finnkode=288739229,63.4337291,10.4005035,23/01/2023,554,7010,Trondheim
Loe Bruk,15000,100,https://www.finn.no/realestate/lettings/ad.html?finnkode=258849436,59.768426,9.916641,23/01/2023,150,3300,Hokksund
Søster Mathildes gate 33,17500,58,https://www.finn.no/realestate/lettings/ad.html?finnkode=236351682,59.921574,10.948802,23/01/2023,301,1473,Lørenskog
PROFESSOR DAHLS GATE 8 A,7950,12,https://www.finn.no/realestate/lettings/ad.html?finnkode=284241746,59.923832,10.723724,23/01/2023,662,355,Oslo
NEDRE MØLLENBERG GATE 1 A,17500,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=288736780,63.429553,10.406705,23/01/2023,250,7014,Trondheim
,7500,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=288416574,58.87308390648148,5.721205178292181,23/01/2023,125,4313,Sandnes
Kirkegata 35,4200,11,https://www.finn.no/realestate/lettings/ad.html?finnkode=288733329,63.4329059,10.4132048,23/01/2023,381,7014,Trondheim
Brinken 4,11000,38,https://www.finn.no/realestate/lettings/ad.html?finnkode=212891378,60.1375959,11.164128,23/01/2023,289,2050,Jessheim
HÅLOGALANDSGATA 118,15000,68,https://www.finn.no/realestate/lettings/ad.html?finnkode=180685012,67.2786446,14.4123056,23/01/2023,220,8008,Bodø
Åsebøen 9,7500,21,https://www.finn.no/realestate/lettings/ad.html?finnkode=288728982,62.4649688,6.317441,23/01/2023,357,6017,Ålesund
,7800,48,https://www.finn.no/realestate/lettings/ad.html?finnkode=287750535,58.36177161588316,8.613814903377452,23/01/2023,162,4885,Grimstad
LØTVEITLIEN 22,8500,52,https://www.finn.no/realestate/lettings/ad.html?finnkode=72327898,60.3365478,5.2861702,23/01/2023,163,5151,Straumsgrend
TØMMERBAKKE VEI 59,16000,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=288164223,59.8185801,10.6261858,23/01/2023,200,1453,Bjørnemyr
,15000,95,https://www.finn.no/realestate/lettings/ad.html?finnkode=288726827,59.7568611,10.2598341,23/01/2023,157,3414,Lierstranda
Bøkkerveien 32B,24000,76,https://www.finn.no/realestate/lettings/ad.html?finnkode=288697814,59.9277448,10.7928365,23/01/2023,315,579,Oslo
Etterstadsletta 37B,18900,66,https://www.finn.no/realestate/lettings/ad.html?finnkode=288685915,59.912052,10.800054,23/01/2023,286,660,Oslo
Øvre Granåslia 25,12750,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=288638683,63.416402,10.465513,23/01/2023,318,7047,Trondheim
Studalen 2,14000,72,https://www.finn.no/realestate/lettings/ad.html?finnkode=288334113,59.7802071,5.4832261,23/01/2023,194,5417,Stord
Ribstonveien 43D,13000,54,https://www.finn.no/realestate/lettings/ad.html?finnkode=288512388,59.937518,10.799788,23/01/2023,240,586,Oslo
Ole Tilseths veg 12B,7000,15,https://www.finn.no/realestate/lettings/ad.html?finnkode=232247550,63.3960265,10.4061312,23/01/2023,466,7037,Trondheim
Heimdalsvegen 12b,10990,36,https://www.finn.no/realestate/lettings/ad.html?finnkode=288554765,63.348986,10.355765,23/01/2023,305,7080,Heimdal
Vollholen 25,9500,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=288600131,59.634588,10.84698,23/01/2023,190,1435,Ås
Børsteveien 7,11500,20,https://www.finn.no/realestate/lettings/ad.html?finnkode=288361019,59.932742,10.794731,23/01/2023,575,585,Oslo
L.P Wettres Vei 44,12000,65,https://www.finn.no/realestate/lettings/ad.html?finnkode=288419921,59.8277755,10.4738084,23/01/2023,184,1392,Vettre
Høgdingsvegen 118,5600,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=288730035,60.9231463,9.4246827,23/01/2023,93,2910,Aurdal
FINNBERGÅSEN 16,13000,55,https://www.finn.no/realestate/lettings/ad.html?finnkode=247104402,60.3668078,5.3493302,23/01/2023,236,5063,Bergen
FEDDERSENS GATE 6 C,12500,46,https://www.finn.no/realestate/lettings/ad.html?finnkode=288734405,59.933768,10.762252,23/01/2023,271,473,Oslo
Gåsbuvegen 602,12500,100,https://www.finn.no/realestate/lettings/ad.html?finnkode=256690317,60.8583989,11.1625867,23/01/2023,125,2323,Ingeberg
Brattråket 5,7000,65,https://www.finn.no/realestate/lettings/ad.html?finnkode=288724401,61.8177948,9.2693694,23/01/2023,107,2682,Lalm
LØKKESTREDET 3,4600,250,https://www.finn.no/realestate/lettings/ad.html?finnkode=228075756,58.3422163,8.5937593,23/01/2023,18,4876,Grimstad
EMIL MØRCHS VEI 5,8000,64,https://www.finn.no/realestate/lettings/ad.html?finnkode=88321918,59.2280328,10.989556,23/01/2023,125,1653,Sellebakk
Lauritz Hervigs vei 164 D,13500,68,https://www.finn.no/realestate/lettings/ad.html?finnkode=288732546,59.7160971,10.2226948,23/01/2023,198,3035,Drammen
Oskar Braatens gate 31,15200,52,https://www.finn.no/realestate/lettings/ad.html?finnkode=288728726,59.9315819,10.7658652,23/01/2023,292,474,Oslo
Vesterøyveien 19b,11270,54,https://www.finn.no/realestate/lettings/ad.html?finnkode=285089071,59.1255251,10.238432,23/01/2023,208,3235,Sandefjord
Nordre Kleivesmauet 8 A,5900,14,https://www.finn.no/realestate/lettings/ad.html?finnkode=123638503,60.3999543,5.3247575,23/01/2023,421,5003,Bergen
SKISKYTTERVEIEN 13,8900,55,https://www.finn.no/realestate/lettings/ad.html?finnkode=99224213,68.435408,17.446789,23/01/2023,161,8515,Narvik
Lørenvangen 21 Oslo,12400,22,https://www.finn.no/realestate/lettings/ad.html?finnkode=284859798,59.930391,10.798138,23/01/2023,563,585,Oslo
KOMETVEGEN 8,3000,11,https://www.finn.no/realestate/lettings/ad.html?finnkode=186883966,63.396758,10.4179656,23/01/2023,272,7036,Trondheim
,10500,35,https://www.finn.no/realestate/lettings/ad.html?finnkode=259925657,59.9200759,10.9405263,23/01/2023,300,1476,Rasta
,10000,85,https://www.finn.no/realestate/lettings/ad.html?finnkode=288720555,58.7447565,5.6337619,23/01/2023,117,4341,Bryne
Traudalsgrend 13,14900,81,https://www.finn.no/realestate/lettings/ad.html?finnkode=69883490,60.3591822,5.2936453,23/01/2023,183,5145,Fyllingsdalen
VENNERBAKKEN 3,9500,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=226511088,60.014825,10.59102,23/01/2023,237,758,Oslo
Gamle E6 668,7000,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=287069864,63.6669595,11.1162269,23/01/2023,116,7623,Ronglan
KIRKETORGET 5 B,9500,85,https://www.finn.no/realestate/lettings/ad.html?finnkode=230909315,59.6666752,9.6449739,23/01/2023,111,3616,Kongsberg
Per O. Lunds gate 14,13700,44,https://www.finn.no/realestate/lettings/ad.html?finnkode=288405475,59.916554,10.955663,23/01/2023,311,1475,Finstadjordet
,10000,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=288717450,59.2133614,10.9361604,23/01/2023,166,1613,Fredrikstad
Vangenvegen 7,9000,36,https://www.finn.no/realestate/lettings/ad.html?finnkode=130373641,60.177732,11.217185,23/01/2023,250,2055,Nordkisa
,11000,55,https://www.finn.no/realestate/lettings/ad.html?finnkode=150470096,59.2659833,11.0349667,23/01/2023,200,1719,Greåker
Sundebråtet 3,10000,78,https://www.finn.no/realestate/lettings/ad.html?finnkode=153909762,58.9594159,5.6328146,23/01/2023,128,4046,Hafrsfjord
halmstadveien 7b,8500,36,https://www.finn.no/realestate/lettings/ad.html?finnkode=288714956,59.3843289,10.7526009,23/01/2023,236,1580,Rygge
STRØMSVEIEN 222 B,12500,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=288669826,59.938902,10.9975347,23/01/2023,250,1472,Fjellhamar
Heimdalsvegen 12,13000,36,https://www.finn.no/realestate/lettings/ad.html?finnkode=288715944,63.349074,10.355806,23/01/2023,361,7080,Heimdal
Magnus Barfots Gate 9,12500,42,https://www.finn.no/realestate/lettings/ad.html?finnkode=288714586,60.3910661,5.3189499,23/01/2023,297,5015,Bergen
Breviksvegen 368B,7000,120,https://www.finn.no/realestate/lettings/ad.html?finnkode=80030957,59.0684283,9.6951978,23/01/2023,58,3950,Brevik
,10500,16,https://www.finn.no/realestate/lettings/ad.html?finnkode=288705640,60.87212247024029,11.57480931617375,23/01/2023,656,2414,Elverum
Nikkelveien 20,16000,75,https://www.finn.no/realestate/lettings/ad.html?finnkode=286403908,58.8697134,5.7304606,23/01/2023,213,4313,Sandnes
Brennaveien 135,13500,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=288708542,59.844395,10.843378,23/01/2023,300,1279,Oslo
SNAREFJELLET 49,16800,56,https://www.finn.no/realestate/lettings/ad.html?finnkode=287815515,59.994326,10.925851,23/01/2023,300,1481,Hagan
åsvegen 77,13000,151,https://www.finn.no/realestate/lettings/ad.html?finnkode=282807104,58.2451914,7.9564786,23/01/2023,86,4708,Vennesla
JOHANNES SKRAASTADS GATE 4,13750,71,https://www.finn.no/realestate/lettings/ad.html?finnkode=288692280,60.7987803,11.0864984,23/01/2023,193,2318,Hamar
Moses vei 5,11000,37,https://www.finn.no/realestate/lettings/ad.html?finnkode=288704734,59.6711551,10.6552788,23/01/2023,297,1448,Drøbak
Laukholmveien 38,17500,200,https://www.finn.no/realestate/lettings/ad.html?finnkode=288707164,65.4599237,12.1981061,23/01/2023,87,8904,Brønnøysund
GIMLEVEIEN 48 A,12000,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=100130730,58.1580429,8.0100758,23/01/2023,171,4630,Kristiansand S
Årvoll,9000,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=288702622,59.9460119,10.8139127,23/01/2023,180,590,Oslo
EIKELIVEIEN 13,9500,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=218054154,59.4990497,10.6923677,23/01/2023,237,1555,Son
PONTOPPIDANS GATE 14 B,16900,47,https://www.finn.no/realestate/lettings/ad.html?finnkode=285894087,59.936803,10.750815,23/01/2023,359,462,Oslo
,6800,12,https://www.finn.no/realestate/lettings/ad.html?finnkode=288700552,60.3943055,5.3259192,23/01/2023,566,5067,Bergen
Laukholmveien 38,7500,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=288704882,65.4599237,12.1981061,23/01/2023,187,8904,Brønnøysund
,14500,42,https://www.finn.no/realestate/lettings/ad.html?finnkode=288702304,60.3943055,5.3259192,23/01/2023,345,5036,Bergen
ingemann torps vei 13,18500,103,https://www.finn.no/realestate/lettings/ad.html?finnkode=288696458,63.4483534,10.4443571,23/01/2023,179,7040,Trondheim
HOLSETGATA 74,8700,55,https://www.finn.no/realestate/lettings/ad.html?finnkode=73686253,60.7990638,11.0826944,23/01/2023,158,2318,Hamar
ØVRE ULLERN TERRASSE 41,9500,13,https://www.finn.no/realestate/lettings/ad.html?finnkode=284942195,59.933995,10.656727,23/01/2023,730,380,Oslo
Titlestadvegen 63A,11500,56,https://www.finn.no/realestate/lettings/ad.html?finnkode=251910822,60.2750356,5.3436281,23/01/2023,205,5243,Fana
Gavlesjåvegen 109,9000,100,https://www.finn.no/realestate/lettings/ad.html?finnkode=288698941,59.5861545,9.0562571,23/01/2023,90,3670,Notodden
,7000,30,https://www.finn.no/realestate/lettings/ad.html?finnkode=166309258,68.152888,14.2007245,23/01/2023,233,8312,Henningsvær
Haldenveien 95,14900,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=225465677,59.887347,10.629481,23/01/2023,372,1367,Snarøya
RYGJAVEIEN 34,14500,79,https://www.finn.no/realestate/lettings/ad.html?finnkode=121680566,58.926198,5.726266,23/01/2023,183,4020,Stavanger
,8500,30,https://www.finn.no/realestate/lettings/ad.html?finnkode=288691943,59.9133301,10.7389701,23/01/2023,283,880,Oslo
SMØRÅSVEGEN 69,13000,110,https://www.finn.no/realestate/lettings/ad.html?finnkode=199218680,60.2933561,5.3522266,23/01/2023,118,5238,Rådal
Pålaveien 33,8900,67,https://www.finn.no/realestate/lettings/ad.html?finnkode=93741534,60.3545573,5.186423,23/01/2023,132,5179,Godvik
Bjørnsons gate 6,14500,48,https://www.finn.no/realestate/lettings/ad.html?finnkode=77477304,63.4303726,10.4233678,23/01/2023,302,7015,Trondheim
Mannesvegen,9000,59,https://www.finn.no/realestate/lettings/ad.html?finnkode=288689760,59.275525,5.192557,23/01/2023,152,4275,Sævelandsvik
,7500,30,https://www.finn.no/realestate/lettings/ad.html?finnkode=285696950,59.9083417,10.6015667,23/01/2023,250,1368,Stabekk
,7100,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=288692855,68.1122528,13.7080749,23/01/2023,157,8352,Sennesvik
