address,price,area,url,lat,lon,date,price_per_m2,postal_code,city
Tjuvholmen alle,26000 ,62,https://www.finn.no/realestate/lettings/ad.html?finnkode=215832399,59.9078284,10.7217637,05/02/2023,419.0,252,Oslo
KARLSTADGATA 13,25000 ,62,https://www.finn.no/realestate/lettings/ad.html?finnkode=290376527,59.924776,10.764387,05/02/2023,403.0,553,Oslo
Hønsveien 7,12000 ,68,https://www.finn.no/realestate/lettings/ad.html?finnkode=131463425,59.8469439,10.4695153,05/02/2023,176.0,1384,Asker
NEDRE RÆLINGSVEG 597,6500 ,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=125150026,59.8774905,11.0851182,05/02/2023,81.0,2009,Nordby
Drammensveien 56,11000 ,57,https://www.finn.no/realestate/lettings/ad.html?finnkode=122460069,59.750328,10.023218,05/02/2023,192.0,3050,Mjøndalen
Sagdalsveien,18000 ,94,https://www.finn.no/realestate/lettings/ad.html?finnkode=220077229,59.9523128,11.0091544,05/02/2023,191.0,2010,Strømmen
Tjuvholmen alle 4,18500 ,41,https://www.finn.no/realestate/lettings/ad.html?finnkode=110811880,59.908707,10.723047,05/02/2023,451.0,252,Oslo
ENGENE 65,12000 ,100,https://www.finn.no/realestate/lettings/ad.html?finnkode=202026572,59.742833,10.218761,05/02/2023,120.0,3015,Drammen
JOHAN SVENDSENS VEI 15,15000 ,78,https://www.finn.no/realestate/lettings/ad.html?finnkode=290265579,59.9633471,10.9977896,05/02/2023,192.0,2013,Skjetten
Dronning Eufemias gate,21000 ,62,https://www.finn.no/realestate/lettings/ad.html?finnkode=261248879,59.9069818,10.7617982,05/02/2023,338.0,196,Oslo
Tostemvegen 122,6000 ,67,https://www.finn.no/realestate/lettings/ad.html?finnkode=290361233,59.2660205,5.2071745,05/02/2023,89.0,4270,Åkrehamn
Jutulstigen 2,24000 ,130,https://www.finn.no/realestate/lettings/ad.html?finnkode=290356358,59.941745,10.961884,05/02/2023,184.0,1463,Fjellhamar
Holtekilveien 9,10500 ,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=290335928,59.901122,10.598012,05/02/2023,210.0,1368,Stabekk
MIDTRE BORGVIN 12 Bø i,13000 ,120,https://www.finn.no/realestate/lettings/ad.html?finnkode=281292762,59.4014821,9.0745666,05/02/2023,108.0,3800,Telemark
Briskebyveien 15,23000 ,87,https://www.finn.no/realestate/lettings/ad.html?finnkode=290348950,59.921501,10.716465,05/02/2023,264.0,259,Oslo
Kirkegårdsgata 4 A,15500 ,66,https://www.finn.no/realestate/lettings/ad.html?finnkode=290348284,59.921771,10.76344,05/02/2023,234.0,558,Oslo
LURAGATA 33 A,12500 ,71,https://www.finn.no/realestate/lettings/ad.html?finnkode=290303994,58.864485,5.7421124,05/02/2023,176.0,4307,Sandnes
MYNTEVIKVEGEN 124,22500 ,125,https://www.finn.no/realestate/lettings/ad.html?finnkode=169368891,60.2680348,5.2316107,05/02/2023,180.0,5258,Blomsterdalen
Skysetveien 1B,13500 ,64,https://www.finn.no/realestate/lettings/ad.html?finnkode=290324900,59.9991493,10.9283413,05/02/2023,210.0,1481,Hagan
ØVRE LANGGATE 27,11000 ,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=290324383,59.266689,10.411181,05/02/2023,220.0,3110,Tønsberg
Rolfsbuktveien 18,18000 ,56,https://www.finn.no/realestate/lettings/ad.html?finnkode=290316394,59.8921199,10.6291464,05/02/2023,321.0,1364,Fornebu
Grønland 50,18000 ,87,https://www.finn.no/realestate/lettings/ad.html?finnkode=290311713,59.7435,10.195032,05/02/2023,206.0,3045,Drammen
Finstadjordet,15000 ,51,https://www.finn.no/realestate/lettings/ad.html?finnkode=133833975,59.914512,10.968252,05/02/2023,294.0,1475,Finstadjordet
TOMMELSTADS GATE 18,9000 ,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=290315657,60.193758,11.999517,05/02/2023,150.0,2212,Kongsvinger
Hvalstadlia 19C,8900 ,30,https://www.finn.no/realestate/lettings/ad.html?finnkode=148652403,59.8573281,10.4583287,05/02/2023,296.0,1395,Hvalstad
Almebakken 27A,18000 ,104,https://www.finn.no/realestate/lettings/ad.html?finnkode=290180285,60.1886114,10.2714095,05/02/2023,173.0,3516,Hønefoss
Gamle Konglungvei 35,12000 ,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=289015006,59.8379413,10.5021498,05/02/2023,266.0,1392,Vettre
Hovinveien 37G,25000 ,77,https://www.finn.no/realestate/lettings/ad.html?finnkode=290301900,59.920832,10.791458,05/02/2023,324.0,576,Oslo
Grønnegata 13 A,16900 ,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=290306431,59.922048,10.729589,05/02/2023,338.0,350,Oslo
Pans Veg 20,3500 ,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=222147848,59.0766814,9.6833454,05/02/2023,50.0,3940,Porsgrunn
Olsrødsvingen 54b,5500 ,125,https://www.finn.no/realestate/lettings/ad.html?finnkode=290296962,59.2770191,10.4496213,05/02/2023,44.0,3150,Tolvsrød
Lillemyrveien 20,15000 ,96,https://www.finn.no/realestate/lettings/ad.html?finnkode=290291507,58.150095,8.022666,05/02/2023,156.0,4632,Kristiansand S
Janaveien 162,9000 ,51,https://www.finn.no/realestate/lettings/ad.html?finnkode=214508105,60.3676284,5.1786313,05/02/2023,176.0,5179,Godvik
Granbakken 17,7800 ,62,https://www.finn.no/realestate/lettings/ad.html?finnkode=278758965,59.643444,9.644847,05/02/2023,125.0,3615,Kongsberg
Tempevegen 6A,4500 ,13,https://www.finn.no/realestate/lettings/ad.html?finnkode=182653514,63.4094965,10.3980336,05/02/2023,346.0,7031,Trondheim
Enneveien 2,12000 ,90,https://www.finn.no/realestate/lettings/ad.html?finnkode=290285710,59.50255,10.210248,05/02/2023,133.0,3089,Holmestrand
Bogstadveien 9A,7300 ,75,https://www.finn.no/realestate/lettings/ad.html?finnkode=161670049,59.924823,10.724986,05/02/2023,97.0,352,Oslo
Heia 48,16000 ,42,https://www.finn.no/realestate/lettings/ad.html?finnkode=289226951,59.919532,10.695809,05/02/2023,380.0,268,Oslo
Stuttvegen 2 c,9200 ,30,https://www.finn.no/realestate/lettings/ad.html?finnkode=98910772,59.8583917,10.7910084,05/02/2023,306.0,1162,Oslo
Kalfarlien 14,11000 ,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=196092916,60.3889012,5.3434381,05/02/2023,244.0,5022,Bergen
Prestegårdsvegen 9,25000 ,500,https://www.finn.no/realestate/lettings/ad.html?finnkode=283506179,60.8751695,11.5618158,05/02/2023,50.0,2414,Elverum
Verven 16C,22000 ,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=282382417,58.9732164,5.7471117,05/02/2023,275.0,4014,Stavanger
MARIDALSVEIEN 209 B,20000 ,1000,https://www.finn.no/realestate/lettings/ad.html?finnkode=289630285,59.94303,10.763442,05/02/2023,20.0,469,Oslo
Bjerkealléen 32,12000 ,53,https://www.finn.no/realestate/lettings/ad.html?finnkode=193615372,59.8218254,10.3780913,05/02/2023,226.0,1385,Asker
