address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Kong Carls gate 33,7500000,259,12.0,1912.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300927950,28957,58.9620887,5.7296735,03/05/2023,,Eier (Selveier),4010,Stavanger
Nebbeveien 35,2890000,92,3.0,1973.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301692946,31413,60.351731,5.295253,03/05/2023,2.0,Andel,5144,Fyllingsdalen
Ustedalen 171,3350000,193,5.0,1963.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301692647,17357,60.5304412,8.1770435,03/05/2023,,Eier (Selveier),3580,Geilo
Blåklokkesvingen 47,2790000,54,,2020.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301692312,51666,63.478352,10.944734,03/05/2023,2.0,Eier (Selveier),7507,Stjørdal
Rødstokken 8,6300000,257,,1965.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300900830,24513,61.2251604,7.0987861,03/05/2023,2.0,Eier (Selveier),6856,Sogndal
Strandvegen 102A,3250000,45,2.0,2015.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301542751,72222,69.6374284,18.9348034,03/05/2023,4.0,Eier (Selveier),9006,Tromsø
Nesbukta 6C,5700000,162,5.0,2019.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=301691838,35185,59.86172,10.503177,03/05/2023,3.0,Andel,1394,Nesbru
Havreslettskogen 93,4690000,154,,2019.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293328348,30454,60.190163,10.266734,03/05/2023,,Eier (Selveier),3516,Hønefoss
Sandslimarka 33A,2950000,45,2.0,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301639269,65555,60.292303,5.281956,03/05/2023,4.0,Eier (Selveier),5254,Sandsli
Hoffsveien 90,6350000,94,3.0,1998.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=271008000,67553,59.936916,10.682807,03/05/2023,1.0,Eier (Selveier),377,Oslo
Bergveien 1B,8190000,133,,2023.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301690217,61578,60.338514,5.323095,03/05/2023,,Eier (Selveier),5152,Bønes
Dronningens gate 33,2900000,98,4.0,1956.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301557368,29591,68.436245,17.427599,03/05/2023,4.0,Eier (Selveier),8514,Narvik
Blomstervegen 35A,3490000,71,3.0,1972.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301573204,49154,59.9370757,11.0595736,03/05/2023,4.0,Andel,2005,Rælingen
Øvre Eikervei 6,3400000,107,4.0,1870.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=262051336,31775,59.7465708,10.1620092,03/05/2023,3.0,Eier (Selveier),3048,Drammen
Stokkedalslien 89,4990000,133,,1982.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=301689446,37518,60.3290001,5.2869202,03/05/2023,,Andel,5155,Bønes
Stadionveien 9,2190000,71,3.0,1990.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301667825,30845,60.3841634,5.2995368,03/05/2023,2.0,Andel,5162,Laksevåg
Hernesvegen 408,27000000,535,,1756.0,Gårdsbruk/Småbruk,https://www.finn.no/realestate/homes/ad.html?finnkode=300211393,50467,60.9280667,11.6518745,03/05/2023,,Eier (Selveier),2410,Hernes
Nordregata 2,1995000,53,3.0,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=293445458,37641,63.470692,10.917953,03/05/2023,1.0,Andel,7504,Stjørdal
Plogveien 33,4500000,75,3.0,1956.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301534432,60000,59.896316,10.814452,03/05/2023,2.0,Andel,679,Oslo
Wernersholmvegen 43,6490000,208,8.0,1929.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=297899828,31201,60.3313732,5.3426177,03/05/2023,3.0,Eier (Selveier),5232,Paradis
Ole Aasveds veg 6,2550000,80,4.0,2003.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301687949,31875,63.4089492,10.4530293,03/05/2023,3.0,Andel,7049,Trondheim
Midthågen 25,4950000,208,5.0,2019.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301688035,23798,68.3757277,17.6029715,03/05/2023,2.0,Eier (Selveier),8522,Beisfjord
Malmvegen 86,2235000,59,2.0,1974.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301664717,37881,69.6796825,19.0812119,03/05/2023,2.0,Andel,9022,Krokelvdalen
Håkons gate 12,5500000,83,,1912.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301687324,66265,60.793603,11.072824,03/05/2023,4.0,Eier (Selveier),2317,Hamar
Drivhusvegen 5,3450000,52,3.0,2017.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301646613,66346,63.397197,10.341678,03/05/2023,1.0,Eier (Selveier),7024,Trondheim
Platous gate 31,490000,15,,2010.0,Garasje/Parkering,https://www.finn.no/realestate/homes/ad.html?finnkode=301533552,32666,59.910485,10.764505,03/05/2023,,Eier (Selveier),190,Oslo
Presteheia 97,2590000,51,,2006.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294282618,50784,58.1643432,8.011733,03/05/2023,1.0,Andel,4633,Kristiansand S
Osebergveien 13,2390000,52,2.0,1990.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301663880,45961,58.9893937,5.6770789,03/05/2023,3.0,Eier (Selveier),4028,Stavanger
Glesnesvegen 136,1750000,177,5.0,1987.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301650827,9887,60.2044563,5.0396734,03/05/2023,2.0,Eier (Selveier),5381,Glesvær
Jernbanegata 6 B,2150000,80,3.0,2004.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301504899,26875,67.2625093,15.3929603,03/05/2023,2.0,Andel,8200,Fauske
Skolegata 2,1290000,51,2.0,2011.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=288788557,25294,59.0448171,9.6968822,03/05/2023,1.0,Andel,3960,Stathelle
Emmausveien 27,3190000,135,,1959.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301678099,23629,58.9631929,5.7597915,03/05/2023,4.0,Eier (Selveier),4015,Stavanger
Vøyensvingen 16D,3500000,28,1.0,1950.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301655031,125000,59.93183,10.753479,03/05/2023,2.0,Andel,458,Oslo
Lønnåskollen 30,27500000,389,6.0,1990.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301685078,70694,59.942639,10.59477,03/05/2023,,Eier (Selveier),1362,Hosle
Balsnesvegen 3,3390000,65,3.0,1952.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=271364264,52153,69.6333039,18.9178528,03/05/2023,1.0,Eier (Selveier),9006,Tromsø
Sandvedøygarden 50,5690000,204,5.0,2014.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=301684758,27892,58.8398643,5.7204316,03/05/2023,3.0,Eier (Selveier),4318,Sandnes
Langbergan 61 Mo i,7800000,208,,2015.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=295837766,37500,66.2848138,14.0854582,03/05/2023,,Eier (Selveier),8618,Rana
Stokkelandlia 15,6800000,204,6.0,2006.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301684329,33333,58.8154159,5.7458018,03/05/2023,3.0,Eier (Selveier),4324,Sandnes
Kastellbakken 11B,12500000,165,6.0,1991.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301029634,75757,59.868415,10.790461,03/05/2023,,Eier (Selveier),1162,Oslo
Håvundvegen 90A,1740000,59,,1928.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=287929214,29491,59.2120021,9.6170776,03/05/2023,1.0,Eier (Selveier),3715,Skien
Prestegårdsjordet 5,6200000,318,,1955.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301684244,19496,59.7446089,10.3840205,03/05/2023,,Eier (Selveier),3440,Røyken
Flatåsen 26,16990000,215,5.0,2005.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293477360,79023,59.6598959,10.6330617,03/05/2023,2.0,Eier (Selveier),1440,Drøbak
Nansenveien 22,1750000,73,3.0,1963.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301540769,23972,60.1697065,10.2720076,03/05/2023,4.0,Andel,3513,Hønefoss
Lilandsvegen 9,4190000,78,3.0,2006.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301593716,53717,60.2845491,5.2525918,03/05/2023,2.0,Andel,5258,Blomsterdalen
Stangelandsvegen 367,7990000,311,3.0,1997.0,Gårdsbruk/Småbruk,https://www.finn.no/realestate/homes/ad.html?finnkode=300875004,25691,58.808035,5.608824,03/05/2023,,Eier (Selveier),4354,Voll
Breivikveien 15,2250000,52,,2007.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301683472,43269,58.9655645,5.7598576,03/05/2023,2.0,Andel,4014,Stavanger
Reinsholm 4G,1090000,68,,2012.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=288057689,16029,63.7928573,11.4913618,03/05/2023,2.0,Andel,7654,Verdal
Molovegen 48,1790000,234,4.0,1965.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=295851179,7649,59.6643832,5.6589157,03/05/2023,,Eier (Selveier),5584,Bjoa
Sandslibakken 115,8290000,208,8.0,1998.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301682761,39855,60.3073017,5.2759981,03/05/2023,,Eier (Selveier),5253,Sandsli
Apalvikvegen 82,2990000,212,6.0,1968.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=271252601,14103,59.6648052,5.6687673,03/05/2023,,Eier (Selveier),5584,Bjoa
Nedre Nøttveit 6,4450000,140,,1955.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301682628,31785,60.2984868,5.3446459,03/05/2023,,Eier (Selveier),5238,Rådal
Nedreskodjevegen 1,2900000,117,,2003.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301642920,24786,62.5050713,6.6849155,03/05/2023,1.0,Eier (Selveier),6260,Skodje
Carl Johans gate 6,4190000,66,,1986.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301682426,63484,63.434004,10.3987124,03/05/2023,3.0,Eier (Selveier),7010,Trondheim
Øyaveien 34,3950000,198,5.0,1970.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=292112882,19949,59.959518,9.9967689,03/05/2023,3.0,Eier (Selveier),3370,Vikersund
Stasjonsvegen 26,4500000,95,4.0,2014.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301681562,47368,58.617221,5.6460721,03/05/2023,5.0,Eier (Selveier),4360,Varhaug
Bakkalykkja 51,4650000,176,4.0,1986.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300921430,26420,61.1034467,10.4884884,03/05/2023,3.0,Eier (Selveier),2614,Lillehammer
Borgavegen 50,9990000,476,8.0,1895.0,Gårdsbruk/Småbruk,https://www.finn.no/realestate/homes/ad.html?finnkode=237701868,20987,60.1964991,5.4733359,03/05/2023,,Eier (Selveier),5211,Os
Julusdalsvegen 420,2380000,380,3.0,1950.0,Gårdsbruk/Småbruk,https://www.finn.no/realestate/homes/ad.html?finnkode=301681029,6263,61.025587,11.731942,03/05/2023,2.0,Eier (Selveier),2410,Hernes
Bølgeveien 16 Sande i,8890000,105,4.0,2014.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300472222,84666,59.5605759,10.2702904,03/05/2023,6.0,Eier (Selveier),3077,Vestfold
Hanaveien 15,2490000,66,2.0,1991.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301607487,37727,58.85364,5.750798,03/05/2023,1.0,Eier (Selveier),4327,Sandnes
Batteriveien 80,6390000,213,6.0,2021.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301680563,30000,64.849516,11.207553,03/05/2023,2.0,Eier (Selveier),7900,Rørvik
Sundts veg 50B,3200000,55,2.0,2011.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301680293,58181,60.3152658,5.3404727,03/05/2023,2.0,Eier (Selveier),5221,Nesttun
Brulia 21,5690000,299,,1958.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=295595224,19030,60.1561389,11.4188592,03/05/2023,2.0,Eier (Selveier),2160,Vormsund
Fiolveien 17B,1890000,52,2.0,1978.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301672400,36346,59.0111036,9.7262021,03/05/2023,2.0,Andel,3970,Langesund
Abelværvegen 223,1680000,173,4.0,1968.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=285534037,9710,64.793734,11.42201,03/05/2023,,Eier (Selveier),7970,Kolvereid
Setra vei 9 A,16900000,189,7.0,1979.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=278357683,89417,59.958787,10.665702,03/05/2023,,Eier (Selveier),786,Oslo
Årvollveien 10,15590000,344,9.0,1972.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301679858,45319,59.944691,10.807929,03/05/2023,,Eier (Selveier),590,Oslo
Styrmannsveien 1,6750000,238,,1954.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301678758,28361,58.9885787,5.7336641,03/05/2023,,Eier (Selveier),4077,Hundvåg
Krokstien 5D,2390000,87,,1971.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301679786,27471,59.2804816,11.0487879,03/05/2023,1.0,Andel,1718,Greåker
Nordåsbrotet 12,2950000,98,4.0,1984.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294852759,30102,60.3052261,5.307247,03/05/2023,2.0,Andel,5235,Rådal
Fururingen 29,6200000,196,5.0,2014.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301671408,31632,60.1677571,10.9896204,03/05/2023,2.0,Eier (Selveier),2033,Åsgreina
Bøkkerveien 30,5990000,64,3.0,2016.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294238360,93593,59.9281653,10.7926945,03/05/2023,2.0,Eier (Selveier),579,Oslo
Gamle Trondheimsvei 19B,5980000,240,6.0,1981.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=296493707,24916,59.976164,10.9320757,03/05/2023,2.0,Eier (Selveier),1481,Hagan
Nedre Borgvin 23 Bø i,3800000,205,,1987.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301678373,18536,59.4024413,9.0764521,03/05/2023,,Eier (Selveier),3801,Telemark
Gneisvegen 129,2450000,62,2.0,1973.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301603744,39516,69.6835204,19.0730305,03/05/2023,2.0,Andel,9022,Krokelvdalen
Lille Skjolddalen 17,6990000,158,,1958.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301678044,44240,60.3079916,5.3487093,03/05/2023,,Eier (Selveier),5222,Nesttun
Sørhaugveien 21,4490000,144,,2015.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=300732513,31180,58.8250217,5.7569302,03/05/2023,,Eier (Selveier),4336,Sandnes
Erkleivvegen 15,5290000,198,,1964.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301677980,26717,58.2683295,7.9753169,03/05/2023,,Eier (Selveier),4700,Vennesla
Klæbuveien 145 D,3990000,67,,1955.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301677169,59552,63.4218048,10.3990155,03/05/2023,2.0,Aksje,7030,Trondheim
Skauveiåsen 2,2990000,163,,1959.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301676632,18343,58.4517573,8.7482995,03/05/2023,2.0,Eier (Selveier),4839,Arendal
Gislemyrveien 2C,1690000,74,3.0,1962.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301676721,22837,58.1301124,7.9589968,03/05/2023,6.0,Andel,4621,Kristiansand S
Osloveien 715 Ytre,7500000,272,10.0,1982.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301656485,27573,59.7702805,10.9850108,03/05/2023,,Eier (Selveier),1914,Enebakk
Lukas Skogsås gate 4,2690000,121,3.0,1949.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301667075,22231,65.837477,13.200206,03/05/2023,1.0,Eier (Selveier),8657,Mosjøen
Barkåkerveien 13G,1990000,68,,1990.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301656371,29264,59.321574,10.395549,03/05/2023,2.0,Eier (Selveier),3157,Barkåker
Vestengaten 38,3850000,153,,1961.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299541806,25163,59.2646037,11.0644141,03/05/2023,2.0,Eier (Selveier),1659,Torp
Kalbakkveien 21,3600000,73,3.0,1961.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301675833,49315,59.9534,10.876909,03/05/2023,2.0,Andel,953,Oslo
Bjørndalsgrend 3,5490000,154,7.0,1967.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301675708,35649,60.3537599,5.24205,03/05/2023,,Eier (Selveier),5170,Bjørndalstræ
Fredrikke Qvams veg 17B,3490000,65,3.0,1962.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301578363,53692,63.4294378,10.444456,03/05/2023,3.0,Andel,7046,Trondheim
Kristofer Jansons vei 27,3490000,64,3.0,1955.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301406449,54531,60.358822,5.3635767,03/05/2023,3.0,Aksje,5089,Bergen
Vardekroken 2,6300000,144,5.0,1994.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301675310,43750,60.0185866,11.047615,03/05/2023,,Eier (Selveier),2020,Skedsmokorset
Nattfiolen 21,4090000,127,4.0,2016.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301597880,32204,59.5162671,10.2810673,03/05/2023,2.0,Eier (Selveier),3086,Holmestrand
Stryken 45,5600000,142,,1994.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293079626,39436,59.7745199,9.9164351,03/05/2023,,Eier (Selveier),3303,Hokksund
Waldemars hage 6,3850000,29,2.0,2005.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301549054,132758,59.927151,10.753276,03/05/2023,5.0,Eier (Selveier),175,Oslo
Julsborg 17,4750000,205,,2002.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301674905,23170,63.736445,11.2441765,03/05/2023,,Eier (Selveier),7607,Levanger
Ryggveien 11,7200000,237,5.0,2002.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=297493556,30379,58.9979775,5.6301786,03/05/2023,,Eier (Selveier),4070,Randaberg
Blåklokkeveien 36,2200000,65,,1956.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301630602,33846,59.129122,11.370088,03/05/2023,1.0,Eier (Selveier),1781,Halden
Refsnesalleen 83D,2790000,67,3.0,1965.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301674628,41641,59.4456872,10.6182687,03/05/2023,2.0,Andel,1518,Moss
Myrvangen 4B Mo i,2600000,130,4.0,1969.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301596133,20000,66.326038,14.195383,03/05/2023,,Andel,8613,Rana
Unnelandsvegen 444,5190000,279,,1936.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301674664,18602,60.3708085,5.4735287,03/05/2023,,Eier (Selveier),5267,Espeland
Vei 238 40,1950000,24,2.0,1997.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301662977,81250,78.217906,15.6346527,03/05/2023,2.0,Eier (Selveier),9170,Longyearbyen
Kirkegaten 12,2790000,40,,1914.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301674268,69750,60.4068796,5.3262277,03/05/2023,2.0,Andel,5036,Bergen
Nedre Vaulabakken 16,4200000,195,6.0,1974.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301673679,21538,58.767225,5.873258,03/05/2023,,Eier (Selveier),4331,Ålgård
Nygaten 1,690000,19,,1999.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301673263,36315,58.462081,8.763765,03/05/2023,3.0,Eier (Selveier),4838,Arendal
Søster Mathildes gate 15,4800000,100,4.0,2010.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298632962,48000,59.919761,10.948331,03/05/2023,1.0,Eier (Selveier),1461,Lørenskog
Kristian Bings vei 15,3190000,75,3.0,1999.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301547933,42533,60.3648406,5.3369379,03/05/2023,1.0,Eier (Selveier),5073,Bergen
