address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Solbakken 9C,5980000,91,3.0,2017.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299379191,65714,59.743873,10.22417,27/04/2023,3.0,Eier (Selveier),3011,Drammen
Tertnesveien 70,5800000,179,7.0,1932.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300217026,32402,60.4559627,5.2979309,27/04/2023,3.0,Eier (Selveier),5113,Tertnes
Skogfaret 91,3550000,84,3.0,2018.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300715257,42261,59.665234,10.996966,27/04/2023,2.0,Eier (Selveier),1825,Tomter
Inge Krokanns veg 15C,4600000,164,5.0,1976.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300775731,28048,62.5936059,9.6869479,27/04/2023,2.0,Eier (Selveier),7340,Oppdal
Forebakken 10,2300000,174,6.0,1994.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300774702,13218,58.260638,7.019306,27/04/2023,1.0,Eier (Selveier),4480,Kvinesdal
Hoppestadlia 15B,2350000,76,3.0,2002.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300624164,30921,59.2537853,9.5665056,27/04/2023,1.0,Andel,3721,Skien
Gamle Slevikvei 1,6250000,171,,1939.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300445799,36549,59.194081,10.830367,27/04/2023,2.0,Eier (Selveier),1622,Gressvik
Sigmunn Jakobsens veg 2,5490000,137,,1947.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300772214,40072,63.430748,10.5173632,27/04/2023,,Eier (Selveier),7055,Ranheim
Fillingsnesveien 192,3170000,88,,1900.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=291656298,36022,63.6719221,8.5819835,27/04/2023,,Eier (Selveier),7263,Hamarvik
Hertervigs plass 1,4290000,76,3.0,2008.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300659309,56447,58.9724058,5.7221249,27/04/2023,5.0,Andel,4007,Stavanger
Ekromskogen 27B,3990000,142,5.0,1977.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=292517804,28098,61.1380572,10.453113,27/04/2023,2.0,Eier (Selveier),2624,Lillehammer
Egshaugen 5,2490000,68,3.0,1959.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=297676974,36617,58.1584992,7.9897478,27/04/2023,3.0,Andel,4615,Kristiansand S
Solåsveien 3,4850000,158,6.0,2015.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300754847,30696,59.494796,10.294743,27/04/2023,2.0,Eier (Selveier),3085,Holmestrand
Vestavegen 52,2690000,117,,2018.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300661149,22991,59.090595,9.681679,27/04/2023,,Andel,3942,Porsgrunn
Rygghagen 1B,3690000,105,,1983.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300770474,35142,58.9981845,5.6232953,27/04/2023,1.0,Eier (Selveier),4070,Randaberg
Edelgranveien 31,8500000,117,,2007.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300770027,72649,59.9276973,10.5543527,27/04/2023,5.0,Eier (Selveier),1356,Bekkestua
Elvebakken 13G,4940000,118,5.0,1999.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=291436707,41864,61.1166457,10.4570799,27/04/2023,2.0,Eier (Selveier),2615,Lillehammer
Westye Egebergs Gate 2 B,8000000,73,3.0,1935.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300769569,109589,59.920758,10.747769,27/04/2023,7.0,Eier (Selveier),177,Oslo
Aspesvingen 18,3400000,77,3.0,2017.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299765369,44155,69.966533,23.435868,27/04/2023,,Eier (Selveier),9517,Alta
Strandaveien 29,3490000,264,,1985.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300769009,13219,63.9613351,10.1883606,27/04/2023,,Eier (Selveier),7170,Åfjord
Hauger skolevei 50,4300000,58,3.0,1977.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300452269,74137,59.908096,10.4977095,27/04/2023,1.0,Eier (Selveier),1351,Rud
Trollfaret 8,3350000,65,3.0,2022.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300717862,51538,60.322723,11.295118,27/04/2023,1.0,Eier (Selveier),2080,Eidsvoll
Statsrådvegen 122H Eidsvoll,3490000,61,3.0,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299510835,57213,60.29169,11.161702,27/04/2023,1.0,Eier (Selveier),2074,Verk
Kirkegata 21,2700000,76,,1906.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300768358,35526,62.470691,6.146725,27/04/2023,2.0,Eier (Selveier),6004,Ålesund
Prestvannvegen 3,2350000,38,2.0,1961.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300123194,61842,69.659811,18.948441,27/04/2023,3.0,Aksje,9011,Tromsø
Zakarias Brekkes veg 29,1500000,92,,1978.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300767555,16304,63.2955363,10.4826724,27/04/2023,1.0,Andel,7540,Klæbu
Østre Greåkervei 32,3990000,187,,1956.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300767331,21336,59.270678,11.0489538,27/04/2023,,Eier (Selveier),1718,Greåker
Granittvegen 9,2600000,57,2.0,1972.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300767228,45614,69.6831557,19.0794502,27/04/2023,2.0,Andel,9022,Krokelvdalen
Vikevegen 659,2980000,132,,1930.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300767024,22575,59.5508962,5.5681872,27/04/2023,,Eier (Selveier),5568,Vikebygd
Professor Dahls gate 16,4090000,31,2.0,1937.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300739855,131935,59.923802,10.721199,27/04/2023,,Aksje,355,Oslo
Austreivegen 7B,1980000,82,4.0,2005.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300766553,24146,59.2892086,5.2965239,27/04/2023,1.0,Eier (Selveier),4250,Kopervik
Ulvahaugen 12,5500000,91,4.0,2018.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300766291,60439,61.2339674,7.0960473,27/04/2023,5.0,Eier (Selveier),6856,Sogndal
Jernbaneveien 825,2300000,78,,1925.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300766187,29487,58.4730061,8.6213224,27/04/2023,,Eier (Selveier),4820,Froland
Solstadløkka 34,2250000,91,,2018.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=297506200,24725,59.006374,10.019666,27/04/2023,2.0,Andel,3292,Stavern
Havnegata 1,6750000,161,,1936.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300765457,41925,59.9515725,11.0648244,27/04/2023,,Eier (Selveier),2004,Lillestrøm
Krambugata 7,1990000,70,2.0,2000.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300765236,28428,58.7641548,5.8534495,27/04/2023,1.0,Eier (Selveier),4330,Ålgård
Nedre hageby 19,2400000,104,3.0,1971.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=300742593,23076,59.7686386,5.495618,27/04/2023,2.0,Eier (Selveier),5411,Stord
Bevervegen 31,2130000,78,,2017.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299643302,27307,58.2804942,7.9885034,27/04/2023,2.0,Eier (Selveier),4707,Vennesla
Dalstuvegen 6D,2500000,146,,1979.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=300764820,17123,60.8245596,11.3470324,27/04/2023,,Andel,2340,Løten
