address,price,area,url,lat,lon,date,price_per_m2,postal_code,city
Oreliveien 10 B,13900 ,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=290505487,59.932079,10.815224,06/02/2023,347.0,580,Oslo
Idrettsvegen 12,23000 ,130,https://www.finn.no/realestate/lettings/ad.html?finnkode=290490556,69.6553405,18.9506815,06/02/2023,176.0,9009,Tromsø
LANGGATEN 21 A,8000 ,93,https://www.finn.no/realestate/lettings/ad.html?finnkode=258312307,59.488809,10.315974,06/02/2023,86.0,3080,Holmestrand
Per Morks veg 15,10800 ,44,https://www.finn.no/realestate/lettings/ad.html?finnkode=290500694,59.9416131,11.0491312,06/02/2023,245.0,2005,Rælingen
Skogmosletta 4,10400 ,39,https://www.finn.no/realestate/lettings/ad.html?finnkode=290500146,60.1370869,11.1890916,06/02/2023,266.0,2053,Jessheim
AKERSBAKKEN 19,15500 ,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=290479779,59.924246,10.746825,06/02/2023,344.0,172,Oslo
TOFTES GATE 28,17000 ,44,https://www.finn.no/realestate/lettings/ad.html?finnkode=290441142,59.927503,10.76124,06/02/2023,386.0,556,Oslo
Røstadlia øvre 1,16000 ,148,https://www.finn.no/realestate/lettings/ad.html?finnkode=269463328,63.7512838,11.3359413,06/02/2023,108.0,7609,Levanger
Ringgata 84,7500 ,55,https://www.finn.no/realestate/lettings/ad.html?finnkode=172632042,59.2773139,11.0981667,06/02/2023,136.0,1723,Sarpsborg
HAAKON VII GATE 25 A,9500 ,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=285519504,67.2757021,14.3742627,06/02/2023,237.0,8003,Bodø
Gladengveien 15,1700 ,12,https://www.finn.no/realestate/lettings/ad.html?finnkode=288527519,59.9166226,10.792632,06/02/2023,141.0,661,Oslo
Waldemars hage 1,18000 ,55,https://www.finn.no/realestate/lettings/ad.html?finnkode=288222709,59.926647,10.752051,06/02/2023,327.0,175,Oslo
Nordre Skogveien 47,11500 ,55,https://www.finn.no/realestate/lettings/ad.html?finnkode=290494187,60.378222,5.3235045,06/02/2023,209.0,5057,Bergen
Lysaker brygge 4,16500 ,51,https://www.finn.no/realestate/lettings/ad.html?finnkode=290493483,59.909916,10.641117,06/02/2023,323.0,1366,Lysaker
Skjeraveien 75,17000 ,186,https://www.finn.no/realestate/lettings/ad.html?finnkode=236720173,59.0619537,5.4068091,06/02/2023,91.0,4180,Kvitsøy
HATLASVINGEN 1,10500 ,55,https://www.finn.no/realestate/lettings/ad.html?finnkode=78740737,62.460456,6.2641389,06/02/2023,190.0,6016,Ålesund
Briskebyveien 86 B,26000 ,108,https://www.finn.no/realestate/lettings/ad.html?finnkode=290490922,59.922706,10.714308,06/02/2023,240.0,259,Oslo
Rødbrekka,8500 ,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=290472129,67.2926677,14.454041,06/02/2023,212.0,8011,Bodø
MELKEDAMMEN 13,6500 ,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=290480586,58.470175,8.7702825,06/02/2023,130.0,4844,Arendal
INDUSTRIGATA 46 A,16000 ,44,https://www.finn.no/realestate/lettings/ad.html?finnkode=290487477,59.927244,10.722398,06/02/2023,363.0,357,Oslo
SLEMMESTADVEIEN 643 B,15500 ,150,https://www.finn.no/realestate/lettings/ad.html?finnkode=89345692,59.771241,10.474282,06/02/2023,103.0,3470,Slemmestad
SØNDRE ALLMENNINGEN 12,14900 ,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=290483613,60.407892,5.3251325,06/02/2023,212.0,5036,Bergen
Damsgårdsveien 103,12900 ,44,https://www.finn.no/realestate/lettings/ad.html?finnkode=290486950,60.382512,5.31743,06/02/2023,293.0,5058,Bergen
MOENGVEGEN 6,6900 ,15,https://www.finn.no/realestate/lettings/ad.html?finnkode=290486223,60.03737,11.11819,06/02/2023,460.0,2016,Frogner
Bogstadveien 9 A,28000 ,79,https://www.finn.no/realestate/lettings/ad.html?finnkode=289129493,59.924823,10.724986,06/02/2023,354.0,355,Oslo
Sjøgata 4,"22900,–",58,https://www.finn.no/realestate/lettings/ad.html?finnkode=284419003,59.910491,10.723998,06/02/2023,,250,Oslo
RAVEIEN 15,8000 ,85,https://www.finn.no/realestate/lettings/ad.html?finnkode=290481052,59.1314347,11.4457157,06/02/2023,94.0,1792,Tistedal
Kulpeveien 9 D,21000 ,146,https://www.finn.no/realestate/lettings/ad.html?finnkode=290475699,59.481647,10.691473,06/02/2023,143.0,1538,Moss
HANNIBAL SEHESTEDS GATE 5,7000 ,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=185996246,59.128078,11.387152,06/02/2023,140.0,1777,Halden
Bogstadveien 21,23000 ,85,https://www.finn.no/realestate/lettings/ad.html?finnkode=285035375,59.925751,10.722503,06/02/2023,270.0,355,Oslo
Elsters gate 3,24000 ,120,https://www.finn.no/realestate/lettings/ad.html?finnkode=290479732,60.3735583,5.3434183,06/02/2023,200.0,5059,Bergen
KONGEVEGEN 98 B,9700 ,91,https://www.finn.no/realestate/lettings/ad.html?finnkode=165945236,60.1664669,12.0311718,06/02/2023,106.0,2211,Kongsvinger
PROST SCHAANNINGS GATE 21,5300 ,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=290466676,63.116002,7.731035,06/02/2023,132.0,6510,Kristiansund N
Holmestrandgata 4,24900 ,87,https://www.finn.no/realestate/lettings/ad.html?finnkode=290474306,59.942144,10.757272,06/02/2023,286.0,468,Oslo
STEINGATA 13,16000 ,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=286058039,58.9702035,5.7227814,06/02/2023,266.0,4008,Stavanger
STEINNESET 13,9000 ,58,https://www.finn.no/realestate/lettings/ad.html?finnkode=247128455,60.1823184,5.4737399,06/02/2023,155.0,5200,Os
FAGERLIBAKKEN 3,49000 ,317,https://www.finn.no/realestate/lettings/ad.html?finnkode=251977338,59.732212,10.196888,06/02/2023,154.0,3046,Drammen
VÆKERØVEIEN 205 B,17000 ,68,https://www.finn.no/realestate/lettings/ad.html?finnkode=290471291,59.948186,10.644491,06/02/2023,250.0,751,Oslo
KLOPPEDALSVEGEN 44,10500 ,50,https://www.finn.no/realestate/lettings/ad.html?finnkode=290467530,60.3196419,5.3468274,06/02/2023,210.0,5221,Nesttun
Solheimgata 7 B,22000 ,100,https://www.finn.no/realestate/lettings/ad.html?finnkode=290469687,59.921481,10.702551,06/02/2023,220.0,267,Oslo
Granliveien 21G,10500 ,10500,https://www.finn.no/realestate/lettings/ad.html?finnkode=290457872,59.941584,10.927163,06/02/2023,1.0,1086,Oslo
Ullevålsallèen 2,14500 ,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=290467014,59.938688,10.731207,06/02/2023,362.0,850,Oslo
PELLYGATA 41,13500 ,57,https://www.finn.no/realestate/lettings/ad.html?finnkode=73859286,59.2822931,11.1180676,06/02/2023,236.0,1706,Sarpsborg
Oredalsveien 20,10990 ,53,https://www.finn.no/realestate/lettings/ad.html?finnkode=285044617,59.223416,10.933559,06/02/2023,207.0,1613,Fredrikstad
CARSTEN ANKERS VEG 2 Eidsvoll,18000 ,160,https://www.finn.no/realestate/lettings/ad.html?finnkode=288262829,60.2925113,11.1696757,06/02/2023,112.0,2074,Verk
Brannvaktsgate 23 A,11900 ,65,https://www.finn.no/realestate/lettings/ad.html?finnkode=290464278,59.053501,10.02388,06/02/2023,183.0,3256,Larvik
St. Halvards gate 20 A,18500 ,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=290462441,59.906609,10.772514,06/02/2023,308.0,192,Oslo
TALLMOBRATTA 2,7500 ,56,https://www.finn.no/realestate/lettings/ad.html?finnkode=290455767,61.1286991,11.3605018,06/02/2023,133.0,2450,Rena
Thomas Heftyes gate 41 A,23000 ,70,https://www.finn.no/realestate/lettings/ad.html?finnkode=290459189,59.919909,10.704218,06/02/2023,328.0,267,Oslo
Stasjonsvegen 12 D Bø i,11900 ,69,https://www.finn.no/realestate/lettings/ad.html?finnkode=290384680,59.4120087,9.070097,06/02/2023,172.0,3800,Telemark
Ammerudveien 19 - 25,14200 ,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=290457612,59.9669253,10.869965,06/02/2023,355.0,958,Oslo
Hegdehaugsveien 2,15200 ,53,https://www.finn.no/realestate/lettings/ad.html?finnkode=290456328,59.920415,10.733582,06/02/2023,286.0,167,Oslo
Borggata 12,11500 ,25,https://www.finn.no/realestate/lettings/ad.html?finnkode=290456283,59.913631,10.77163,06/02/2023,460.0,650,Oslo
Darres gate 3,15500 ,47,https://www.finn.no/realestate/lettings/ad.html?finnkode=290456319,59.927345,10.751923,06/02/2023,329.0,175,Oslo
Dvergfuruveien 1,13000 ,98,https://www.finn.no/realestate/lettings/ad.html?finnkode=286559343,68.7564627,16.5664086,06/02/2023,132.0,9414,Harstad
NORDSNOVEIEN 9,10500 ,30,https://www.finn.no/realestate/lettings/ad.html?finnkode=246995014,59.9709389,11.048668,06/02/2023,350.0,2007,Kjeller
Hvalen terrasse 37,12000 ,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=290450484,59.0824406,9.6936465,06/02/2023,150.0,3943,Porsgrunn
NEDRE LØNBORG 47,19500 ,140,https://www.finn.no/realestate/lettings/ad.html?finnkode=216954442,60.4374448,5.2849794,06/02/2023,139.0,5039,Bergen
Stavangergata 25,14500 ,44,https://www.finn.no/realestate/lettings/ad.html?finnkode=290454959,59.94283,10.757559,06/02/2023,329.0,467,Oslo
Iduns gate 4,13500 ,25,https://www.finn.no/realestate/lettings/ad.html?finnkode=290454918,59.920022,10.74936,06/02/2023,540.0,178,Oslo
Levvelveien 45,8000 ,55,https://www.finn.no/realestate/lettings/ad.html?finnkode=134046642,59.2513154,10.746851,06/02/2023,145.0,1628,Engelsviken
Solbakken 3 C,13900 ,62,https://www.finn.no/realestate/lettings/ad.html?finnkode=290452830,59.744084,10.223128,06/02/2023,224.0,3011,Drammen
Vingromsvegen 109,6500 ,48,https://www.finn.no/realestate/lettings/ad.html?finnkode=178798440,61.0981435,10.436422,06/02/2023,135.0,2608,Lillehammer
RØDSTILKVEGEN 2,4800 ,105,https://www.finn.no/realestate/lettings/ad.html?finnkode=283607865,63.3443169,10.3409365,06/02/2023,45.0,7082,Kattem
Thorvald Meyers gate 33 B,19000 ,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=290449752,59.925997,10.758995,06/02/2023,237.0,555,Oslo
Nydalen allé 29,18500 ,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=290449664,59.947453,10.76647,06/02/2023,308.0,484,Oslo
Åsengata 26,19000 ,45,https://www.finn.no/realestate/lettings/ad.html?finnkode=290449446,59.938682,10.772232,06/02/2023,422.0,480,Oslo
Haugevegen 77B,7000 ,39,https://www.finn.no/realestate/lettings/ad.html?finnkode=271409491,59.4228787,5.2653518,06/02/2023,179.0,5515,Haugesund
Bringebærlia 58,16900 ,125,https://www.finn.no/realestate/lettings/ad.html?finnkode=290448183,59.5044444,10.6953759,06/02/2023,135.0,1555,Son
Elias Smiths vei 20 B,13900 ,44,https://www.finn.no/realestate/lettings/ad.html?finnkode=290447581,59.891411,10.517877,06/02/2023,315.0,1337,Sandvika
TOMTEGATA 43,17000 ,85,https://www.finn.no/realestate/lettings/ad.html?finnkode=241193835,59.741852,10.22376,06/02/2023,200.0,3012,Drammen
Lørenveien 62 B,14500 ,42,https://www.finn.no/realestate/lettings/ad.html?finnkode=290445144,59.929681,10.797635,06/02/2023,345.0,585,Oslo
SEMINARGATA 31,6000 ,25,https://www.finn.no/realestate/lettings/ad.html?finnkode=290434674,60.795355,11.073369,06/02/2023,240.0,2317,Hamar
STEINKARGATA 20,8000 ,30,https://www.finn.no/realestate/lettings/ad.html?finnkode=95376296,58.9719476,5.73405,06/02/2023,266.0,4006,Stavanger
Nico Hambros vei 14,16000 ,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=290426569,59.972255,10.929697,06/02/2023,266.0,969,Oslo
Ohlselia 10C,15900 ,104,https://www.finn.no/realestate/lettings/ad.html?finnkode=154647108,59.0001883,10.0312001,06/02/2023,152.0,3292,Stavern
Rognveien 5,9000 ,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=175540880,59.238529,11.020243,06/02/2023,112.0,1657,Torp
ØVRE RYENSVEI 88 A,12000 ,60,https://www.finn.no/realestate/lettings/ad.html?finnkode=290423922,59.960281,10.9897047,06/02/2023,200.0,2013,Skjetten
Stårrvegen 2,10000 ,65,https://www.finn.no/realestate/lettings/ad.html?finnkode=289693430,59.2816704,9.2699085,06/02/2023,153.0,3830,Ulefoss
EIDESBROTET 1,5500 ,40,https://www.finn.no/realestate/lettings/ad.html?finnkode=290353023,60.0561538,6.5469857,06/02/2023,137.0,5750,Odda
Bjørneveien 9,11000 ,65,https://www.finn.no/realestate/lettings/ad.html?finnkode=153649760,59.6214077,11.0253814,06/02/2023,169.0,1823,Knapstad
Stokkalandshadlet 24,8500 ,82,https://www.finn.no/realestate/lettings/ad.html?finnkode=285661103,58.561142,5.734031,06/02/2023,103.0,4362,Vigrestad
Sørengkaia 118,21900 ,80,https://www.finn.no/realestate/lettings/ad.html?finnkode=290427104,59.901442,10.752974,06/02/2023,273.0,194,Oslo
