address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Bjørneveien 14A,1650000,58,,1969.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=293498056,28448,59.684004,9.632537,10/03/2023,1.0,Andel,3617,Kongsberg
Bakergata 7,2250000,43,,1842.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=274038072,52325,58.9708795,5.7387535,10/03/2023,2.0,Eier (Selveier),4013,Stavanger
Sandertunet 105,4100000,65,3.0,1994.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294355009,63076,59.720211,10.850977,10/03/2023,2.0,Eier (Selveier),1400,Ski
Bjørnebærstien 65,4600000,93,,1972.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294354999,49462,59.92854,10.47715,10/03/2023,3.0,Andel,1348,Rykkinn
Tollbodgata 60F,3500000,96,,1955.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294354981,36458,58.1480682,8.0012685,10/03/2023,1.0,Eier (Selveier),4614,Kristiansand S
Sørumsandveien 89,5500000,97,,2018.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294354985,56701,59.986149,11.238965,10/03/2023,3.0,Eier (Selveier),1920,Sørumsand
Fredtunvegen 10E,2490000,49,2.0,2008.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294315378,50816,58.8877581,5.6526564,10/03/2023,4.0,Eier (Selveier),4050,Sola
Skadbergveien 6,2890000,66,3.0,2016.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294256350,43787,58.8902232,5.6662186,10/03/2023,2.0,Eier (Selveier),4050,Sola
Havblikk 1,3190000,74,3.0,2015.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294350619,43108,58.9468716,5.5769378,10/03/2023,1.0,Eier (Selveier),4057,Tananger
Ole Moes vei 21C,8950000,187,5.0,1972.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294193040,47860,59.854188,10.805587,10/03/2023,3.0,Eier (Selveier),1165,Oslo
Vardheivegen 12B,2790000,80,,1991.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294354405,34875,58.7384209,5.6515735,10/03/2023,2.0,Eier (Selveier),4340,Bryne
Vækerøåsen 14A,22000000,335,,1932.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=285980318,65671,59.917654,10.649169,10/03/2023,,Eier (Selveier),282,Oslo
Tiuråsen 14,4500000,164,,1967.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294354178,27439,60.1986654,10.7230559,10/03/2023,2.0,Eier (Selveier),2743,Harestua
Kvernbakken 86,2290000,70,,2008.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=294354278,32714,58.7770571,5.726269,10/03/2023,,Andel,4355,Kvernaland
Kolåshøyen 2,3190000,86,3.0,1979.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294354269,37093,60.4621205,5.3563113,10/03/2023,4.0,Andel,5135,Flaktveit
Tors gate 4,8950000,272,6.0,1920.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=280499940,32904,58.9585175,5.7340274,10/03/2023,,Eier (Selveier),4011,Stavanger
Egshaugen 9,2190000,50,,1977.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294354012,43800,58.157825,7.9909211,10/03/2023,2.0,Andel,4615,Kristiansand S
