address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Mellomila 78,3590000,87,,2002.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299642387,41264,63.431726,10.35859,21/04/2023,2.0,Andel,7018,Trondheim
Amundrødveien 69B,14390000,326,,1965.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293771183,44141,59.2382303,10.387288,21/04/2023,,Eier (Selveier),3142,Vestskogen
Lyngveien 9 B,12500000,275,,2019.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299825422,45454,59.023795,10.075266,21/04/2023,,Eier (Selveier),3260,Larvik
Måkeveien 17a,4190000,91,3.0,2016.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299825257,46043,68.5664305,14.9351538,21/04/2023,,Eier (Selveier),8450,Stokmarknes
Nøtteskogen 50,2990000,64,3.0,2013.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299761596,46718,60.366109,5.157429,21/04/2023,1.0,Eier (Selveier),5355,Knarrevik
Torpesvingen 48,4700000,146,,2013.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299825111,32191,58.998006,9.867273,21/04/2023,,Eier (Selveier),3295,Helgeroa
Åsleet 61,6150000,196,6.0,2012.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299712993,31377,62.6962919,7.4100921,21/04/2023,,Eier (Selveier),6456,Skåla
Markveien 22B,2900000,25,1.0,1892.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299818063,116000,59.924901,10.757666,21/04/2023,1.0,Andel,554,Oslo
Trondheimsveien 95,4100000,53,2.0,1940.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299753762,77358,59.92424,10.774324,21/04/2023,4.0,Andel,565,Oslo
Gartveien 350,2200000,133,,1958.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299824377,16541,63.6418069,9.5156918,21/04/2023,,Eier (Selveier),7153,Garten
Huitfeldts gate 16C,6200000,61,3.0,1891.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299757706,101639,59.913468,10.724699,21/04/2023,3.0,Andel,253,Oslo
Riseveien 329,2490000,229,,1943.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299824117,10873,58.474765,8.670665,21/04/2023,,Eier (Selveier),4848,Arendal
Nyheimsvegen 54,6850000,128,5.0,1960.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299722632,53515,63.4184107,10.4936285,21/04/2023,3.0,Eier (Selveier),7058,Jakobsli
Ullevålsalléen 30,8500000,52,,1918.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299823906,163461,59.941542,10.735419,21/04/2023,2.0,Andel,852,Oslo
Harald Posts vei 27A,4075000,134,4.0,2013.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293509539,30410,59.9298375,11.4321958,21/04/2023,,Eier (Selveier),1930,Aurskog
Sjøstrand 8,750000,75,3.0,1973.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299823652,10000,59.1139619,10.2171439,21/04/2023,7.0,Obligasjon,3209,Sandefjord
Øvrefoss 6G,4290000,33,2.0,1939.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299794180,130000,59.927717,10.75735,21/04/2023,4.0,Aksje,555,Oslo
Haakon Tveters vei 86,2850000,32,1.0,1963.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299670093,89062,59.894166,10.83995,21/04/2023,9.0,Andel,686,Oslo
Stongafjellsbakken 51B,4990000,127,5.0,2015.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299823269,39291,60.4061993,5.1996573,21/04/2023,,Eier (Selveier),5301,Kleppestø
Hebekkveien 20A,9500000,150,,2022.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299809302,63333,59.725583,10.821881,21/04/2023,,Eier (Selveier),1406,Ski
Bråtenveien 17,2950000,162,,1958.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299751883,18209,60.056829,10.062247,21/04/2023,,Eier (Selveier),3533,Tyristrand
Sole allé 3,3300000,58,2.0,2008.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299804167,56896,59.599458,10.7571236,21/04/2023,2.0,Eier (Selveier),1540,Vestby
Øvre Stadionveien 104,2490000,60,3.0,1951.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299777931,41500,60.3836286,5.2958214,21/04/2023,2.0,Andel,5161,Laksevåg
Karl Reinsnes vei 9,3400000,174,,1957.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=265470492,19540,68.6798169,15.3894754,21/04/2023,,Eier (Selveier),8403,Sortland
Spikkelia 2C,2190000,62,,2021.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299822365,35322,58.417324,8.642552,21/04/2023,1.0,Eier (Selveier),4821,Rykene
Frydenlundsveien 20B,2790000,82,3.0,1957.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299717396,34024,58.1544789,8.0113065,21/04/2023,1.0,Andel,4631,Kristiansand S
Smiuvegen 29,4950000,120,5.0,1971.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299661764,41250,59.953317,10.925086,21/04/2023,2.0,Andel,981,Oslo
Kvernhusveien 8A,2800000,61,3.0,1956.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299753967,45901,60.3752719,5.2669812,21/04/2023,2.0,Eier (Selveier),5164,Laksevåg
Bakkesvingen 21,5000000,189,,1971.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299377032,26455,60.0670262,11.137343,21/04/2023,,Eier (Selveier),2040,Kløfta
Elmholt Allé 18,7250000,81,3.0,1995.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299821837,89506,59.922865,10.668302,21/04/2023,2.0,Eier (Selveier),275,Oslo
