address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Adolph Tidemands gate 29A,3200000,50,2.0,2007.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=293468432,64000,59.9571308,11.0476363,08/03/2023,3.0,Andel,2000,Lillestrøm
Drammensveien 54B,13500000,104,4.0,1937.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294082200,129807,59.91288,10.713676,08/03/2023,3.0,Eier (Selveier),271,Oslo
Kampensgata 67,2990000,63,3.0,1920.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294133559,47460,58.9745556,5.7133391,08/03/2023,1.0,Eier (Selveier),4007,Stavanger
Kveldeveien 354,3290000,210,,1972.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294133409,15666,59.2013085,9.9700205,08/03/2023,,Eier (Selveier),3282,Kvelde
Tranevegen 195,5750000,134,4.0,2003.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=293661653,42910,60.3042827,5.3547386,08/03/2023,2.0,Eier (Selveier),5238,Rådal
Østbyveien 25B,6000000,215,,1980.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293306534,27906,59.924416,10.996772,08/03/2023,2.0,Eier (Selveier),1474,Lørenskog
Lillefjell terrasse 79,3500000,142,,2008.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293988803,24647,58.2285464,7.9290087,08/03/2023,,Eier (Selveier),4619,Mosby
Georgernes Verft 16,4690000,67,2.0,2001.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294092725,70000,60.3961997,5.3079781,08/03/2023,2.0,Andel,5011,Bergen
Lundejordet 4,3190000,121,5.0,2022.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293912068,26363,59.08098,9.689558,08/03/2023,,Andel,3941,Porsgrunn
Klostergata 44 B,2350000,35,,1920.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=293860485,67142,63.4232161,10.3912729,08/03/2023,1.0,Andel,7030,Trondheim
Granlivegen 19C,9490000,257,,1967.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294130231,36926,63.3926388,10.3424513,08/03/2023,,Eier (Selveier),7024,Trondheim
Øverbygdsvegen Østre,3200000,169,4.0,1920.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=279262790,18934,61.2410092,10.2161576,08/03/2023,2.0,Eier (Selveier),1580,Gausdal
Frøyas gate 47,2400000,72,3.0,1989.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294129272,33333,59.2185723,10.936699,08/03/2023,2.0,Andel,1608,Fredrikstad
Hovlandveien 9D,3140000,200,5.0,1973.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=289008191,15700,59.150275,10.2235559,08/03/2023,3.0,Andel,3225,Sandefjord
Nissens gate 1,6500000,68,3.0,1896.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294128401,95588,59.926041,10.761788,08/03/2023,4.0,Andel,556,Oslo
Engene 87 A,3900000,88,4.0,1971.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294128182,44318,59.743269,10.222104,08/03/2023,1.0,Andel,3011,Drammen
Nord-Fugløyveien,2300000,206,,1998.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294117833,11165,70.0730589,19.9836558,08/03/2023,,Eier (Selveier),2486,Vannvåg
Lysakerveien 22A,6290000,140,5.0,2022.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293110839,44928,59.761824,9.99828,08/03/2023,2.0,Eier (Selveier),3055,Krokstadelva
Østre Moholt-tun 14,2650000,43,2.0,1968.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=294125926,61627,63.4083141,10.4356774,08/03/2023,2.0,Andel,7050,Trondheim
Trollstigen 2,7990000,212,,1969.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293321992,37688,59.6590638,10.64043,08/03/2023,,Eier (Selveier),1446,Drøbak
Symraveien 6A,6550000,169,4.0,1958.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294101636,38757,67.2902837,14.4310084,08/03/2023,4.0,Eier (Selveier),8009,Bodø
Solveig Hansens gate 11,5990000,204,6.0,2018.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294123393,29362,59.414352,5.328083,08/03/2023,2.0,Eier (Selveier),5533,Haugesund
Stubben 6,6750000,136,3.0,1987.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=293940978,49632,59.4361337,10.6265043,08/03/2023,-1.0,Eier (Selveier),1512,Moss
Vikjordet 27,3490000,155,5.0,2003.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294122350,22516,58.3666649,8.6325006,08/03/2023,2.0,Eier (Selveier),4885,Grimstad
Langsethveien 3,2990000,65,,2008.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=291775450,46000,59.6768195,10.5340362,08/03/2023,1.0,Eier (Selveier),3475,Sætre
Svaneveien 62,5750000,208,,1991.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=277454091,27644,58.8434061,5.7087022,08/03/2023,3.0,Eier (Selveier),4318,Sandnes
