address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Breimyra 152,2750000,103,4.0,1983.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=297545027,26699,60.4613848,5.3642393,12/04/2023,4.0,Andel,5134,Flaktveit
Rundvegen 13,2740000,219,,1957.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=295734418,12511,58.5703057,5.6844632,12/04/2023,,Eier (Selveier),4362,Vigrestad
Skiparviklia 11,4260000,72,3.0,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=295999430,59166,60.31809,5.335158,12/04/2023,,Eier (Selveier),5221,Nesttun
Gullfunnet 7,5725000,135,,1999.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298563471,42407,59.3905157,10.6823928,12/04/2023,,Eier (Selveier),1570,Dilling
Brattbakken 8,2700000,200,,1948.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=296869986,13500,60.1852524,11.994169,12/04/2023,,Eier (Selveier),2208,Kongsvinger
Skåravegen 53,2500000,257,,1985.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298524890,9727,60.13081,5.140839,12/04/2023,,Eier (Selveier),5384,Torangsvåg
Bringebærveien 18C,3490000,123,,1976.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=298558289,28373,58.1738031,8.0972134,12/04/2023,,Eier (Selveier),4635,Kristiansand S
Gamle Somavei 14,4500000,252,6.0,1952.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298555102,17857,58.8714314,5.7225428,12/04/2023,4.0,Eier (Selveier),4313,Sandnes
Maridalsveien 56 B,7950000,79,4.0,1892.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=275750962,100632,59.929327,10.753105,12/04/2023,3.0,Andel,458,Oslo
Olav Tryggvasons gate 34,4490000,96,,1896.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298552175,46770,63.433318,10.3947266,12/04/2023,5.0,Eier (Selveier),7011,Trondheim
Linneaveien 49,5100000,154,2.0,1986.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298489437,33116,59.7378599,10.0295318,12/04/2023,3.0,Eier (Selveier),3050,Mjøndalen
Fjellhaugvegen 25,5390000,191,4.0,2007.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293205601,28219,63.3272559,10.0419696,12/04/2023,2.0,Eier (Selveier),7353,Børsa
Snølia 1,5600000,72,4.0,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298551139,77777,59.946183,10.95222,12/04/2023,1.0,Eier (Selveier),1470,Lørenskog
Kvartsveien 2B,2500000,74,,1978.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298551140,33783,59.1400982,10.1897898,12/04/2023,1.0,Andel,3214,Sandefjord
Elgtråkket 3D,3750000,104,,1976.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298550657,36057,59.932128,11.0352301,12/04/2023,3.0,Andel,2014,Blystadlia
Dalveien 114A,1740000,55,,1971.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298550339,31636,59.2803112,11.0476182,12/04/2023,3.0,Andel,1718,Greåker
Bringebærhagen 10,3950000,71,3.0,2008.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298500379,55633,59.6742756,10.6627844,12/04/2023,2.0,Andel,1448,Drøbak
Fjeldheimvegen 7,9590000,210,6.0,2014.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=280622382,45666,60.1315683,11.1728982,12/04/2023,,Eier (Selveier),2053,Jessheim
Solstrandvegen 142,3200000,74,3.0,2001.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298548133,43243,69.6300775,18.9570751,12/04/2023,2.0,Andel,9020,Tromsdalen
Alexander Kiellands gate 8B,4200000,66,3.0,1951.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298547465,63636,59.9596018,11.0556349,12/04/2023,1.0,Andel,2000,Lillestrøm
Bevervegen 19,4990000,300,6.0,1970.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=282655230,16633,60.2266843,11.033986,12/04/2023,,Eier (Selveier),2030,Nannestad
Vardane 15F,2490000,47,2.0,2012.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298546842,52978,60.4499394,5.2193612,12/04/2023,2.0,Eier (Selveier),5306,Erdal
Løbergsjå 2A,3490000,133,5.0,2011.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298499628,26240,58.8319466,5.8196734,12/04/2023,,Eier (Selveier),4337,Sandnes
Rådmann Paulsens gate 18,4500000,66,3.0,2014.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298546742,68181,59.920071,10.950958,12/04/2023,6.0,Eier (Selveier),1461,Lørenskog
Sanddalskollen 45,2550000,67,3.0,2000.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=275811144,38059,60.3268578,5.3683874,12/04/2023,1.0,Andel,5225,Nesttun
Buvikveien 1,1900000,61,,1959.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298546440,31147,59.2703789,11.0875784,12/04/2023,2.0,Andel,1725,Sarpsborg
