address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Hegermanns gate 13B,3300000,58,,1922.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301546973,56896,59.934584,10.76634,05/05/2023,2.0,Andel,478,Oslo
Taietveien 36,3690000,94,,2019.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301966493,39255,59.883808,11.546795,05/05/2023,,Eier (Selveier),1940,Bjørkelangen
Gamle Mossevei 3,5900000,218,8.0,1915.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301856922,27064,59.822822,10.774024,05/05/2023,,Eier (Selveier),1420,Svartskog
Løbergsveien 105,2850000,64,,1957.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301966608,44531,60.3633771,5.3409124,05/05/2023,1.0,Aksje,5073,Bergen
Sørli terrasse 19,6200000,147,5.0,1962.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301945113,42176,59.9203194,10.9699586,05/05/2023,1.0,Eier (Selveier),1473,Lørenskog
Odenseveien 6,2950000,65,3.0,1959.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301783790,45384,63.4154572,10.3514042,05/05/2023,2.0,Andel,7020,Trondheim
Teistholmveien 57,950000,66,3.0,1956.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301966289,14393,63.1208106,7.7537226,05/05/2023,2.0,Andel,6512,Kristiansund N
Odvar Solbergs vei 142,2890000,97,3.0,1973.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301794851,29793,59.969472,10.902392,05/05/2023,10.0,Andel,973,Oslo
Røreks gate 34,4700000,164,,1984.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=293310351,28658,60.8012938,11.0469039,05/05/2023,3.0,Eier (Selveier),2316,Hamar
Nattlandsåsen 10A,4490000,102,3.0,1958.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301929128,44019,60.3425233,5.3601515,05/05/2023,,Eier (Selveier),5231,Paradis
Eugenies gate 2,6790000,60,,2004.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301966115,113166,59.927703,10.732585,05/05/2023,2.0,Eier (Selveier),168,Oslo
Beverveien 29,3000000,29,,1955.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301965701,103448,59.942908,10.849722,05/05/2023,1.0,Andel,596,Oslo
Skomakerveien 4,7200000,237,,2022.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301934157,30379,59.62893,11.029271,05/05/2023,,Eier (Selveier),1823,Knapstad
Råvarden 87,8300000,138,5.0,2020.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301935562,60144,60.2881499,5.3181046,05/05/2023,2.0,Eier (Selveier),5239,Rådal
Vestre Torggaten 20C,3500000,69,3.0,1900.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301964668,50724,60.3895057,5.3207243,05/05/2023,1.0,Eier (Selveier),5015,Bergen
Haresvingen 11 Ytre,3350000,111,,1982.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301965160,30180,59.735832,11.0280533,05/05/2023,,Andel,1914,Enebakk
Magnus Bergs gate 3D,10200000,116,4.0,1903.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=290095331,87931,59.920359,10.706119,05/05/2023,3.0,Eier (Selveier),266,Oslo
Oreveien 3,1800000,65,,1958.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301964908,27692,59.0452069,10.0705989,05/05/2023,1.0,Andel,3261,Larvik
Strandtunet 119,3690000,67,3.0,2012.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301666692,55074,59.753091,10.256786,05/05/2023,,Eier (Selveier),3414,Lierstranda
Øvre Haukeligate 27,4790000,142,,1916.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301914120,33732,58.9671615,5.7497186,05/05/2023,,Eier (Selveier),4014,Stavanger
Nordsjøvegen,5990000,261,8.0,1965.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301495342,22950,58.7201304,5.5340832,05/05/2023,3.0,Eier (Selveier),1150,Orre
Øvre Bøkeligate 46,1650000,61,,1964.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301964571,27049,59.0544668,10.0193498,05/05/2023,1.0,Andel,3256,Larvik
Vikens gate 16,2990000,63,,1953.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299805591,47460,60.37662,5.333198,05/05/2023,3.0,Andel,5057,Bergen
Møglestumoen 43,2690000,89,,1850.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301964574,30224,58.257701,8.3650162,05/05/2023,1.0,Eier (Selveier),4790,Lillesand
Brattsbergvegen 6A,1950000,68,3.0,1953.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301953189,28676,59.1466358,9.6637796,05/05/2023,2.0,Andel,3912,Porsgrunn
Nedre Møllenberg gate 80A,2890000,53,3.0,1895.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=300203243,54528,63.4353369,10.420024,05/05/2023,2.0,Eier (Selveier),7068,Trondheim
Eikskollen 11A,6300000,77,4.0,1953.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301677394,81818,59.9440676,10.611038,05/05/2023,1.0,Eier (Selveier),1361,Østerås
Rambergveien 10A,2490000,28,,2013.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=285902931,88928,59.2641584,10.4022715,05/05/2023,3.0,Eier (Selveier),3115,Tønsberg
Hetlandsgata 7,2290000,47,,2006.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301964013,48723,58.7347324,5.6507526,05/05/2023,4.0,Andel,4344,Bryne
Storflata 1,2490000,93,,1969.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301792580,26774,63.377283,10.362338,05/05/2023,10.0,Andel,7029,Trondheim
Reeholen 104C,2690000,68,,2005.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301963794,39558,58.7310934,5.6345957,05/05/2023,2.0,Eier (Selveier),4340,Bryne
Bruerveien 48G,5250000,116,5.0,2019.0,Tomannsbolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301863090,45258,59.544695,10.744632,05/05/2023,2.0,Eier (Selveier),1550,Hølen
Fanavegen 83,4100000,62,3.0,2021.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=301963615,66129,60.297138,5.32604,05/05/2023,5.0,Eier (Selveier),5239,Rådal
Florenveien 44,8400000,299,,2001.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=301963404,28093,59.033296,9.9941214,05/05/2023,,Eier (Selveier),3265,Larvik
